NAME,TEAM,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,OPP,OWN_SCORE,OPP_SCORE,CLOCK,PERIOD,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,DIFFERENTIAL
Joel Embiid (Jan 21),PHI,203954,34,23,11,0.676,32.84862745,9.147058824,18.35294118,0.498,1.323529412,3.382352941,0.391,8.764705882,10.76470588,0.814,1.970588235,8.676470588,10.64705882,4.205882353,2.970588235,1.029411765,1.382352941,1.117647059,2.588235294,8,28.38235294,164,18,1,ACTIVE,203954,21,C,1,1,1,nan,nan,6,1,0,25,15,0.6,0,11,4,0,10,7,0.7,85,36.53333333,79,-6,40,2,20,5,8,5,13,0,3,3,1,5,22,12,0.545454545,LAC,101,102,,0,1/22/2022 2:35,Base Set,Common,2,Jump Shot,2021-02-20 00:30:00+00:00,Philadelphia 76ers,40000,33943,0,3425,2635,0,12,10,0.11,42.86,42.86,968,FALSE,FALSE,FALSE,FALSE,VISIBLE,c9e5350f-3227-4514-a813-8321542db9f2,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c9e5350f-3227-4514-a813-8321542db9f2,Throwdowns,Rare,2,Dunk,1800,206,0,-1
Ja Morant (Jan 21),MEM,1629630,35,21,14,0.6,32.63219048,9.314285714,19.05714286,0.489,1.571428571,4.4,0.357,4.857142857,6.257142857,0.776,1.314285714,4.457142857,5.771428571,6.885714286,3.285714286,1.285714286,0.4,1.714285714,1.342857143,5,25.05714286,50,6,0,ACTIVE,1629630,12,PG,1,1,1,nan,nan,6,0,1,26,15,0.576923077,0,4,1,1,8,6,0.75,99,37.43333333,96,-3,38,6,22,0,3,3,6,2,6,2,0.333333333,6,20,13,0.65,DEN,122,118,,0,1/22/2022 2:35,Base Set,Common,2,Block,2021-04-20 01:00:00+00:00,Memphis Grizzlies,40000,34153,0,3472,2378,0,12,14,0.07,16.67,40,800,FALSE,FALSE,FALSE,FALSE,VISIBLE,ed35c7bc-de88-490a-84fa-90461711d8d2,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ed35c7bc-de88-490a-84fa-90461711d8d2,Rising Stars,Rare,2,3 Pointer,2021,450,0,4
James Harden (Jan 21),BKN,201935,40,26,14,0.65,36.99216667,6.725,15.975,0.421,2.4,7.075,0.339,7.1,8.2,0.866,0.95,7.1,8.05,10.025,4.75,1.3,0.725,1.4,2.45,5,22.95,81,26,8,ACTIVE,201935,13,PG,1,0,1,nan,nan,11,1,2,24,13,0.541666667,1,7,3,0,7,7,1,74,37.13333333,92,18,37,9,14,8,9,1,10,0,8,4,0.5,3,16,9,0.5625,SAS,117,102,,0,1/22/2022 2:36,Base Set,Common,2,Assist,2021-02-14 01:30:00+00:00,Brooklyn Nets,40000,36417,0,2381,1205,0,12,13,0.18,30,62.5,1238,FALSE,FALSE,FALSE,FALSE,VISIBLE,97cf5248-fcb1-4531-bc73-3a0e01e710fb,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+97cf5248-fcb1-4531-bc73-3a0e01e710fb,2021 All-Star Game,Rare,2,3 Pointer,2021,319,0,15
DeMar DeRozan (Jan 21),CHI,201942,41,27,14,0.659,34.76,9.341463415,19.09756098,0.489,0.609756098,1.829268293,0.333,6.658536585,7.780487805,0.856,0.756097561,4.219512195,4.975609756,4.804878049,2.170731707,0.780487805,0.365853659,1.195121951,2.195121951,5,25.95121951,190,3,0,ACTIVE,201942,11,SF,1,1,1,nan,nan,3,0,0,18,9,0.5,0,9,0,0,18,17,0.944444444,75,38.4515,76,1,35,2,2,2,5,1,6,0,3,0,0,1,15,9,0.6,MIL,90,94,,0,1/22/2022 2:38,Base Set,Common,2,Jump Shot,2021-01-30 01:30:00+00:00,San Antonio Spurs,40000,35314,0,2885,1806,0,12,18,0.2,80,100,1242,FALSE,FALSE,FALSE,FALSE,VISIBLE,e65450c1-c4fa-452c-9108-79e3c3f78699,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e65450c1-c4fa-452c-9108-79e3c3f78699,Metallic Gold LE,Rare,2,Dunk,210,888,0,-4
Giannis Antetokounmpo (Jan 21),MIL,203507,39,25,14,0.641,32.70987179,9.923076923,18.69230769,0.531,1.076923077,3.820512821,0.282,7.692307692,10.76923077,0.714,1.820512821,9.461538462,11.28205128,6.025641026,3.487179487,1.025641026,1.487179487,1.102564103,3.282051282,8,28.61538462,256,25,3,ACTIVE,203507,34,PF,1,1,1,nan,nan,3,2,2,23,11,0.47826087,2,9,3,0,12,8,0.666666667,74,36.66666667,75,1,30,5,20,5,11,1,12,1,3,0,0,3,20,11,0.55,CHI,94,90,,0,1/22/2022 2:36,Base Set,Common,3,Dunk,2021-10-28 00:00:00+00:00,Milwaukee Bucks,60000,41881,0,6205,12023,0,2,4,0,0,0,2799,nan,nan,nan,nan,VISIBLE,18f2c951-2f32-480d-9bf6-a5fda50765f9,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+18f2c951-2f32-480d-9bf6-a5fda50765f9,MVP Moves,Rare,1,Layup,499,450,0,4
Shai Gilgeous-Alexander (Jan 21),OKC,1628983,40,14,26,0.35,34.81275,7.725,18.45,0.419,1.55,5.65,0.274,5.65,6.8,0.831,0.7,4.025,4.725,5.425,2.425,1.025,0.775,1.15,2.35,5,22.65,-170,3,1,ACTIVE,1628983,2,PG,1,0,1,nan,nan,6,1,2,23,10,0.434782609,1,9,3,0,9,8,0.888888889,83,33.23333333,73,-10,29,7,18,3,3,2,5,1,3,1,0.333333333,1,20,9,0.45,CHA,98,121,,0,1/22/2022 2:37,Base Set,Common,2,Layup,2021-01-10 23:00:00+00:00,Oklahoma City Thunder,40000,36409,0,2588,1006,0,12,10,-0.09,42.86,42.86,1000,FALSE,FALSE,FALSE,FALSE,VISIBLE,4fcef4e2-2935-4533-8482-e22c10f667ce,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4fcef4e2-2935-4533-8482-e22c10f667ce,Metallic Gold LE,Rare,3,3 Pointer,749,305,0.05,-23
LeBron James (Jan 21),LAL,2544,34,18,16,0.529,36.61333333,10.79411765,20.88235294,0.517,2.852941176,7.882352941,0.362,4.411764706,5.823529412,0.758,1.088235294,6.5,7.588235294,6.382352941,3.176470588,1.588235294,1.117647059,0.823529412,2.205882353,5,28.85294118,-7,12,3,ACTIVE,2544,6,SF,1,0,1,nan,nan,5,1,3,23,12,0.52173913,1,3,3,0,3,3,1,76,33.61466667,81,5,29,6,16,3,6,1,7,1,7,2,0.285714286,6,16,10,0.625,ORL,116,105,,0,1/22/2022 2:38,Base Set,Common,2,Assist,2021-01-11 00:00:00+00:00,Los Angeles Lakers,35000,31868,0,1956,1176,0,12,54,-0.06,14.89,22.73,2737,FALSE,FALSE,FALSE,FALSE,VISIBLE,23d37299-e149-4ab5-8f3f-c8686c711675,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+23d37299-e149-4ab5-8f3f-c8686c711675,2021 All-Star Game,Rare,2,Dunk,2021,855,0,11
Jusuf Nurkic (Jan 21),POR,203994,42,19,23,0.452,27.06757937,5.452380952,10.0952381,0.54,0.214285714,1.023809524,0.209,3.214285714,4.547619048,0.707,2.666666667,8.142857143,10.80952381,2.761904762,2.428571429,1.214285714,0.571428571,0.547619048,3.404761905,3,14.33333333,36,20,0,ACTIVE,203994,27,C,1,1,1,nan,nan,6,1,1,16,9,0.5625,1,14,4,0,13,10,0.769230769,75,37.85,95,20,29,0,16,7,11,6,17,1,1,1,1,5,15,8,0.533333333,BOS,109,105,,0,1/22/2022 2:38,Base Set,Common,2,Block,2021-01-14 03:00:00+00:00,Portland Trail Blazers,40000,35673,0,3453,877,0,12,13,0.44,62.5,85.71,1551,FALSE,FALSE,FALSE,FALSE,VISIBLE,1c3ab8bf-df99-414c-ab22-fd073b62e8e8,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1c3ab8bf-df99-414c-ab22-fd073b62e8e8,Throwdowns,Rare,2,Dunk,1800,91,0.01,4
Trae Young (Jan 21),ATL,1629027,41,18,23,0.439,34.78447154,9.317073171,20.48780488,0.455,2.804878049,7.536585366,0.372,6.463414634,7.170731707,0.901,0.658536585,3.292682927,3.951219512,9.414634146,4.195121951,0.975609756,0.097560976,1.317073171,1.634146341,5,27.90243902,27,21,0,ACTIVE,1629027,11,PG,1,0,1,nan,nan,7,0,0,15,6,0.4,0,9,1,0,15,12,0.8,82,36.44783333,80,-2,28,1,2,3,3,0,3,1,11,4,0.363636364,8,4,2,0.5,MIA,110,108,,0,1/22/2022 2:38,Base Set,Common,3,Assist,2021-10-25 23:30:00+00:00,Atlanta Hawks,60000,35818,0,10132,14427,0,2,3,0,0,0,2872,nan,nan,nan,nan,VISIBLE,50cb5544-a930-4262-a248-ef88c4d8963f,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+50cb5544-a930-4262-a248-ef88c4d8963f,Metallic Silver FE,Fandom,3,3 Pointer,10495,39,-0.04,2
