name,team,opp,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,pts_proj,reb_proj,ast_proj,stl_proj,blk_proj,tov_proj
Jemerrio Jones,LAL,PHI,0022100733,1629203,2,0,2,0.0,7.358333333333333,1.0,1.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0,2.0,-13,0,0,0022100733,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,80-66,14,0.5784722222222222,0.43385416666666665,0.0,0.14461805555555554,0.0,0.0
Kent Bazemore,LAL,PHI,0022100733,203145,26,14,12,0.538,16.07698717948718,1.3461538461538463,4.115384615384615,0.327,0.7692307692307693,2.1923076923076925,0.351,0.38461538461538464,0.5,0.769,0.3076923076923077,1.6153846153846154,1.9230769230769231,0.8461538461538461,0.38461538461538464,0.7692307692307693,0.23076923076923078,0.0,2.0384615384615383,0,3.8461538461538463,-82,0,0,0022100733,away,ACTIVE,203145.0,9,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:08,Base Set,Common,2,Layup,2021-02-18 03:00:00+00:00,Golden State Warriors,12000,11227.0,0.0,543.0,231.0,0.0,12.0,10,0.00%,11.11,11.11,282.0,True,False,False,False,VISIBLE,b904318c-d73c-4b13-b0a5-5161449df6fd,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b904318c-d73c-4b13-b0a5-5161449df6fd,0.00%,12000,10,Layup,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,80-66,14,1.1124465811965814,0.5562232905982907,0.24473824786324785,0.22248931623931625,0.06674679487179487,0.11124465811965813
LeBron James,LAL,PHI,0022100733,2544,36,19,17,0.528,36.64361111111111,10.916666666666666,20.916666666666668,0.522,2.7777777777777777,7.888888888888889,0.352,4.472222222222222,5.888888888888889,0.759,1.0833333333333333,6.583333333333333,7.666666666666667,6.305555555555555,3.0833333333333335,1.6388888888888888,1.1111111111111112,0.8055555555555556,2.2222222222222223,5,29.083333333333332,-5,13,3,0022100733,away,INACTIVE,2544.0,6,nan,Bench,On Bench,0,INACTIVE_INJURY,Left Knee; Soreness,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:07,Base Set,Common,2,Block,2021-01-26 01:00:00+00:00,Los Angeles Lakers,40000,35929.0,0.0,2503.0,1569.0,0.0,12.0,55,1.85%,10.0,27.91,1909.0,False,False,False,False,VISIBLE,9367ff97-fc00-4e46-8d57-afbd405d2b9d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9367ff97-fc00-4e46-8d57-afbd405d2b9d,0.00%,2021,845,Dunk,2,2021 All-Star Game,Rare,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Block,2021 All-Star Game-Rare-2-Dunk,80-66,14,8.411950231481482,2.217476851851852,1.8237943672839503,0.4740258487654321,0.32137345679012347,0.8918113425925926
Malik Monk,LAL,PHI,0022100733,1628370,43,23,20,0.535,26.161046511627905,4.465116279069767,9.325581395348838,0.479,2.1627906976744184,5.27906976744186,0.41,1.0232558139534884,1.2325581395348837,0.83,0.46511627906976744,2.604651162790698,3.0697674418604652,2.2790697674418605,1.2790697674418605,0.7441860465116279,0.4418604651162791,0.3953488372093023,1.558139534883721,1,12.116279069767442,119,0,0,0022100733,away,ACTIVE,1628370.0,11,SF,Starter,On Bench,1,nan,nan,4,0,0,11,2,0.18181818181818202,1,2.0,2,0,4,4,1.0,60,26.532166666666665,52,-8,9,4,2,0,2,0,2,1,5,1,0.2,3,6,1,0.166666666666667,2022-01-27 22:03,Base Set,Common,3,Dunk,2021-10-28 00:00:00+00:00,Los Angeles Lakers,60000,37032.0,0.0,11101.0,14424.0,0.0,2.0,3,50.00%,0.0,0.0,1826.0,nan,nan,nan,nan,VISIBLE,ddbe01f0-9207-47a4-9eff-be191d5260d2,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+ddbe01f0-9207-47a4-9eff-be191d5260d2,4.08%,12000,51,Layup,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-2-Layup,80-66,14,12.504465439276485,2.887887596899225,4.6591892764857885,1.2152454780361757,0.12780200258397933,3.3699531653746773
Mason Jones,LAL,PHI,0022100733,1630222,2,0,2,0.0,4.408333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0,2.5,-4,0,0,0022100733,away,INACTIVE,1630222.0,40,nan,Bench,On Bench,0,INACTIVE_GLEAGUE_TWOWAY,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:09,Base Set,Common,2,Layup,2021-01-09 01:00:00+00:00,Houston Rockets,4000,3724.0,0.0,206.0,70.0,0.0,12.0,38,0.00%,5.56,0.0,245.0,True,True,True,True,VISIBLE,e5d69ce5-e253-438d-8420-381ef275abc6,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e5d69ce5-e253-438d-8420-381ef275abc6,0.00%,4000,38,Layup,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,80-66,14,0.7230902777777778,0.2892361111111111,0.0,0.14461805555555554,0.0,0.14461805555555554
Rajon Rondo,LAL,PHI,0022100733,200765,18,5,13,0.278,16.08138888888889,1.2777777777777777,3.9444444444444446,0.324,0.4444444444444444,1.6666666666666667,0.267,0.05555555555555555,0.1111111111111111,0.5,0.5555555555555556,2.1666666666666665,2.7222222222222223,3.7222222222222223,1.8888888888888888,0.6666666666666666,0.2777777777777778,0.2222222222222222,1.3888888888888888,0,3.0555555555555554,-67,0,0,0022100733,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:04,Archive Set,Common,S21,Layup,2014-01-25 00:30:00+00:00,Boston Celtics,20000,17740.0,0.0,2260.0,168.0,0.0,2.0,9,12.50%,0.0,28.57,395.0,nan,nan,nan,nan,VISIBLE,1de5e434-2e3d-402c-835a-fe35769b4d3b,9e89b552-0236-4ffc-ab6b-8cf7c27d46b4,https://nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+1de5e434-2e3d-402c-835a-fe35769b4d3b,1.33%,2077,152,Assist,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Archive Set-Common-S21-Layup,Base Set-Common-1-Assist,80-66,14,0.8837770061728394,0.7873649691358025,1.0766010802469135,0.19282407407407406,0.08034336419753087,0.5463348765432099
Russell Westbrook,LAL,PHI,0022100733,201566,48,24,24,0.5,34.80184027777778,7.041666666666667,16.083333333333332,0.438,1.0,3.4166666666666665,0.293,3.4583333333333335,5.125,0.675,1.3958333333333333,6.625,8.020833333333334,7.729166666666667,4.145833333333333,1.1041666666666667,0.25,1.0625,3.125,4,18.541666666666668,-71,20,9,0022100733,away,ACTIVE,201566.0,0,PG,Starter,On Bench,1,nan,nan,3,0,0,11,5,0.45454545454545503,0,0.0,1,0,0,0,0.0,60,24.883333333333333,45,-15,11,0,8,0,3,1,4,0,2,1,0.5,5,9,4,0.444444444444444,2022-01-27 22:10,Base Set,Common,2,Layup,2021-02-03 01:00:00+00:00,Washington Wizards,35000,32732.0,0.0,1836.0,460.0,0.0,12.0,5,0.00%,0.0,0.0,1808.0,False,False,False,False,VISIBLE,bc07cf4e-1c65-415f-ba8f-f2bbd7797609,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bc07cf4e-1c65-415f-ba8f-f2bbd7797609,-2.76%,1800,141,Dunk,2,Throwdowns,Rare,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Layup,Throwdowns-Rare-2-Dunk,80-66,14,16.362919560185187,6.319914641203704,5.235554108796296,0.3193648726851852,0.07230902777777777,6.199124710648148
Sekou Doumbouya,LAL,PHI,0022100733,1629635,2,0,2,0.0,8.191666666666666,2.5,4.0,0.625,0.5,1.0,0.5,1.5,2.0,0.75,1.0,2.0,3.0,0.0,1.0,1.5,1.0,0.5,0.5,1,7.0,24,0,0,0022100733,away,INACTIVE,1629635.0,45,nan,Bench,On Bench,0,INACTIVE_GLEAGUE_TWOWAY,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:08,Base Set,Common,2,Block,2021-04-12 02:00:00+00:00,Detroit Pistons,12000,10868.0,0.0,735.0,399.0,0.0,12.0,8,0.00%,14.29,14.29,425.0,True,False,False,False,VISIBLE,733196bd-0c9b-4d9f-9b9d-547ae7a10b4a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+733196bd-0c9b-4d9f-9b9d-547ae7a10b4a,0.00%,12000,8,Block,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Block,Base Set-Common-2-Block,80-66,14,2.024652777777778,0.8677083333333333,0.0,0.43385416666666665,0.2892361111111111,0.2892361111111111
Stanley Johnson,LAL,PHI,0022100733,1626169,14,7,7,0.5,21.221309523809527,2.2857142857142856,4.428571428571429,0.516,0.7857142857142857,2.2857142857142856,0.344,1.0714285714285714,1.3571428571428572,0.789,0.42857142857142855,2.2142857142857144,2.642857142857143,1.2857142857142858,0.5,0.7857142857142857,0.35714285714285715,0.14285714285714285,3.0,1,6.428571428571429,22,0,0,0022100733,away,ACTIVE,1626169.0,14,PF,Starter,On Bench,1,nan,nan,2,3,1,4,1,0.25,1,2.0,2,0,0,0,0.0,43,22.301166666666667,43,0,2,0,0,2,6,1,7,1,2,0,0.0,1,2,1,0.5,2022-01-27 21:41,Base Set,Common,2,Dunk,2020-12-30 00:00:00+00:00,Toronto Raptors,12000,11590.0,0.0,410.0,0.0,0.0,12.0,24,0.00%,4.35,14.29,749.0,True,False,False,False,VISIBLE,9b8c111f-11a7-4f4d-a69f-dc1ba5e76621,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9b8c111f-11a7-4f4d-a69f-dc1ba5e76621,0.00%,12000,24,Dunk,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,80-66,14,3.859375,7.764409722222222,2.371875,1.2272569444444446,3.103298611111111,1.1446180555555556
Talen Horton-Tucker,LAL,PHI,0022100733,1629659,32,16,16,0.5,26.647135416666668,3.875,9.53125,0.407,0.78125,3.15625,0.248,1.59375,2.03125,0.785,0.625,2.78125,3.40625,2.59375,1.5,0.90625,0.5,0.53125,2.625,1,10.125,-33,1,0,0022100733,away,ACTIVE,1629659.0,5,nan,Bench,In Game,1,nan,nan,2,0,1,6,2,0.333333333333333,0,0.0,1,0,0,0,0.0,39,13.117833333333333,24,-15,5,0,2,0,0,0,0,0,2,1,0.5,0,4,1,0.25,2022-01-27 22:03,Base Set,Common,3,Dunk,2021-11-16 03:30:00+00:00,Los Angeles Lakers,60000,33799.0,0.0,12230.0,16913.0,0.0,2.0,3,0.00%,0.0,0.0,2205.0,nan,nan,nan,nan,VISIBLE,7995e88d-4642-4991-8fca-8f75beccca66,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+7995e88d-4642-4991-8fca-8f75beccca66,0.00%,12000,18,Steal,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-2-Steal,80-66,14,7.928515624999999,0.9852105034722223,2.7502061631944446,0.26212022569444443,0.14461805555555554,0.43385416666666665
Trevor Ariza,LAL,PHI,0022100733,2772,13,6,7,0.462,18.821538461538463,1.1538461538461537,3.4615384615384617,0.333,0.9230769230769231,2.923076923076923,0.316,0.15384615384615385,0.3076923076923077,0.5,0.3076923076923077,3.076923076923077,3.3846153846153846,1.1538461538461537,0.5384615384615384,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.5384615384615384,0,3.3846153846153846,-38,0,0,0022100733,away,ACTIVE,2772.0,1,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 21:44,Base Set,Common,1,Dunk,2020-01-27 02:00:00+00:00,Portland Trail Blazers,3345,2608.0,0.0,362.0,375.0,0.0,25.0,57,-1.72%,-3.39,-13.64,125.0,True,False,False,False,VISIBLE,1fc9b2f1-d444-4645-a12a-7d0500214fa2,7b797690-5b53-45a7-b972-bd2d5152654a,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+1fc9b2f1-d444-4645-a12a-7d0500214fa2,-1.72%,3345,57,Dunk,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-1-Dunk,Base Set-Common-1-Dunk,80-66,14,0.9789529914529914,0.9789529914529914,0.33373397435897434,0.13349358974358974,0.04449786324786325,0.15574252136752137
Wayne Ellington,LAL,PHI,0022100733,201961,31,12,19,0.387,19.804139784946234,2.129032258064516,5.32258064516129,0.4,1.8709677419354838,4.870967741935484,0.384,0.12903225806451613,0.16129032258064516,0.8,0.22580645161290322,1.3870967741935485,1.6129032258064515,0.7096774193548387,0.45161290322580644,0.5161290322580645,0.06451612903225806,0.0967741935483871,1.0,0,6.258064516129032,-54,0,0,0022100733,away,ACTIVE,201961.0,2,nan,Bench,In Game,1,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.23333333333333334,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,80-66,14,1.8100582437275985,0.46650985663082434,0.20526433691756274,0.14928315412186377,0.01866039426523297,0.13062275985663083
Aaron Henry,PHI,LAL,0022100733,1630565,6,6,0,1.0,2.8305555555555557,0.16666666666666666,0.8333333333333334,0.2,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,-20,0,0,0022100733,home,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,0.09641203703703703,0.048206018518518516,0.0,0.0,0.09641203703703703,0.09641203703703703
Andre Drummond,PHI,LAL,0022100733,203083,42,24,18,0.571,18.410753968253967,2.619047619047619,4.928571428571429,0.531,0.0,0.047619047619047616,0.0,0.9761904761904762,1.880952380952381,0.519,2.7857142857142856,5.9523809523809526,8.738095238095237,1.8095238095238095,1.6904761904761905,1.1428571428571428,0.9523809523809523,0.47619047619047616,2.4523809523809526,1,6.214285714285714,-5,6,0,0022100733,home,ACTIVE,203083.0,1,nan,Bench,On Bench,1,nan,nan,2,0,0,1,1,1.0,1,0.0,1,0,0,0,0.0,11,6.216666666666667,11,0,2,0,2,0,3,0,3,1,0,0,0.0,1,1,1,1.0,2022-01-27 22:03,Base Set,Common,3,Dunk,2021-11-09 00:00:00+00:00,Philadelphia 76ers,60000,33033.0,0.0,12992.0,17290.0,0.0,2.0,3,0.00%,0.0,0.0,2668.0,nan,nan,nan,nan,VISIBLE,4bd2b975-2ce0-46db-ac95-5878f5b42bfd,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+4bd2b975-2ce0-46db-ac95-5878f5b42bfd,0.00%,1254,59,Dunk,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Dunk,66-80,-14,3.7973958333333337,5.527372685185185,2.5233796296296296,1.3305555555555555,0.27546296296296297,1.4889467592592593
Braxton Key,PHI,LAL,0022100733,1630296,2,2,0,1.0,3.2,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0,1.0,-5,0,0,0022100733,home,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,0.2892361111111111,0.2892361111111111,0.14461805555555554,0.14461805555555554,0.0,0.2892361111111111
Charles Bassey,PHI,LAL,0022100733,1629646,21,10,11,0.476,7.22031746031746,1.2857142857142858,1.9047619047619047,0.675,0.0,0.19047619047619047,0.0,0.38095238095238093,0.5238095238095238,0.727,0.9047619047619048,1.7619047619047619,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.7142857142857143,0.09523809523809523,1.380952380952381,0,2.9523809523809526,-27,1,0,0022100733,home,ACTIVE,1629646.0,23,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,0.8539351851851852,0.7712962962962963,0.09641203703703703,0.05509259259259259,0.20659722222222224,0.09641203703703703
Charlie Brown Jr.,PHI,LAL,0022100733,1629718,10,7,3,0.7,14.636500000000002,0.8,3.1,0.258,0.1,0.9,0.111,0.7,0.8,0.875,1.4,1.6,3.0,0.4,0.4,0.7,0.3,0.4,1.4,0,2.4,17,0,0,0022100733,home,ACTIVE,1629718.0,16,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,0.6941666666666666,0.8677083333333333,0.11569444444444443,0.20246527777777776,0.08677083333333332,0.11569444444444443
Danny Green,PHI,LAL,0022100733,201980,29,15,14,0.517,23.739827586206896,2.2758620689655173,5.586206896551724,0.407,1.8275862068965518,4.793103448275862,0.381,0.3103448275862069,0.3448275862068966,0.9,0.5517241379310345,2.0344827586206895,2.586206896551724,1.103448275862069,0.896551724137931,1.3103448275862069,0.8620689655172413,0.1724137931034483,1.7586206896551724,0,6.689655172413793,91,0,0,0022100733,home,ACTIVE,201980.0,14,nan,Bench,In Game,1,nan,nan,0,0,0,5,3,0.6,0,0.0,0,0,0,0,0.0,23,11.983333333333333,35,12,9,0,0,3,2,0,2,0,5,3,0.6,1,0,0,0.0,2022-01-27 22:09,Base Set,Common,2,3 Pointer,2021-01-13 00:00:00+00:00,Philadelphia 76ers,40000,35832.0,0.0,3166.0,1138.0,0.0,12.0,4,0.00%,0.0,0.0,2171.0,False,False,False,False,VISIBLE,d72c6f8e-3720-422b-a52b-f772cc64f3a6,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d72c6f8e-3720-422b-a52b-f772cc64f3a6,-1.14%,2241,87,Dunk,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-1-Dunk,66-80,-14,10.934889846743294,2.7480244252873565,0.31915708812260535,0.3789990421455938,0.24934147509578541,1.259315134099617
Furkan Korkmaz,PHI,LAL,0022100733,1627788,43,26,17,0.605,24.432984496124032,3.3255813953488373,8.488372093023257,0.392,1.4186046511627908,4.813953488372093,0.295,1.1395348837209303,1.3488372093023255,0.845,0.32558139534883723,2.7906976744186047,3.116279069767442,2.372093023255814,0.813953488372093,0.6046511627906976,0.13953488372093023,0.3023255813953488,1.0,1,9.209302325581396,24,1,0,0022100733,home,ACTIVE,1627788.0,30,SG,Starter,On Bench,1,nan,nan,3,0,0,4,3,0.75,0,3.0,2,0,0,0,0.0,57,27.084666666666667,54,-3,6,2,6,0,1,0,1,0,1,0,0.0,1,3,3,1.0,2022-01-27 22:09,Base Set,Common,2,3 Pointer,2021-03-17 23:00:00+00:00,Philadelphia 76ers,12000,11173.0,0.0,583.0,245.0,0.0,12.0,25,13.64%,31.58,25.0,298.0,True,False,False,False,VISIBLE,49778ceb-6c0e-4e2b-9ce0-fef4c6c8d612,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+49778ceb-6c0e-4e2b-9ce0-fef4c6c8d612,13.64%,12000,25,3 Pointer,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,66-80,-14,8.663662790697675,1.9013404392764857,3.68609496124031,0.17488695090439277,0.040358527131782944,1.2354247416020672
Georges Niang,PHI,LAL,0022100733,1627777,43,27,16,0.628,23.03286821705426,3.3488372093023258,7.813953488372093,0.429,1.9069767441860466,4.953488372093023,0.385,0.8604651162790697,0.9767441860465116,0.881,0.37209302325581395,2.3255813953488373,2.697674418604651,1.4651162790697674,0.7209302325581395,0.4883720930232558,0.18604651162790697,0.4418604651162791,2.627906976744186,0,9.465116279069768,74,0,0,0022100733,home,ACTIVE,1627777.0,20,nan,Bench,In Game,1,nan,nan,1,0,0,4,2,0.5,0,0.0,1,0,0,0,0.0,16,10.0,29,13,5,3,2,0,0,0,0,0,3,1,0.333333333333333,0,1,1,1.0,2022-01-27 22:07,Base Set,Common,2,3 Pointer,2021-02-23 02:00:00+00:00,Utah Jazz,12000,10904.0,0.0,724.0,372.0,0.0,12.0,16,0.00%,6.67,6.67,293.0,True,False,False,False,VISIBLE,cdcc7dad-3a7e-4db3-af14-add10c463ae5,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+cdcc7dad-3a7e-4db3-af14-add10c463ae5,0.00%,12000,16,3 Pointer,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,66-80,-14,7.73765342377261,0.7802648578811369,1.423764534883721,0.1412548449612403,0.05381136950904392,0.2085190568475452
