NAME,TEAM,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,OPP,OWN_SCORE,OPP_SCORE,CLOCK,PERIOD,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,DIFFERENTIAL,EASY_MOMENT,HARD_MOMENT,SCORE,GAME_CLOCK,PTS_PROJ
Russell Westbrook,LAL,201566,47,23,24,0.489,34.84585106382979,7.042553191489362,16.127659574468087,0.437,1.0212765957446808,3.4468085106382977,0.296,3.5106382978723403,5.212765957446808,0.673,1.425531914893617,6.638297872340425,8.063829787234043,7.808510638297872,4.127659574468085,1.1063829787234043,0.2553191489361702,1.0851063829787233,3.127659574468085,4,18.617021276595743,-70,20,9,ACTIVE,201566.0,0,PG,1,-,1,nan,nan,9,0,1,15,9,0.6,0,6.0,5,1,8,6,0.75,78,31.666666666666668,77,-1,24,0,14,4,7,2,9,0,3,0,0.0,3,12,9,0.75,MIA,107,113,,0.0,2022-01-24 02:37,Base Set,Common,2,Layup,2021-02-03 01:00:00+00:00,Washington Wizards,35000,32707.0,0.0,1861.0,445.0,0.0,12.0,5,0.0,0.0,25.0,1895.0,False,False,False,False,VISIBLE,bc07cf4e-1c65-415f-ba8f-f2bbd7797609,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bc07cf4e-1c65-415f-ba8f-f2bbd7797609,Throwdowns,Rare,2,Dunk,1800,172,-1.71,-6,Base Set-Common-2-Layup,Throwdowns-Rare-2-Dunk,107-113,Final,24.0
Stanley Johnson,LAL,1626169,13,6,7,0.462,20.63576923076923,2.3076923076923075,4.384615384615385,0.526,0.8461538461538461,2.3846153846153846,0.355,1.1538461538461537,1.4615384615384615,0.789,0.46153846153846156,2.230769230769231,2.6923076923076925,1.3076923076923077,0.5384615384615384,0.7692307692307693,0.38461538461538464,0.07692307692307693,3.076923076923077,1,6.615384615384615,12,0,0,ACTIVE,1626169.0,14,nan,0,-,1,nan,nan,0,0,0,3,2,0.666666666666666,0,1.0,2,0,2,2,1.0,58,22.501,54,-4,7,4,2,0,2,0,2,0,2,1,0.5,0,1,1,1.0,MIA,107,113,,0.0,2022-01-24 02:41,Base Set,Common,2,Dunk,2020-12-30 00:00:00+00:00,Toronto Raptors,12000,11585.0,0.0,415.0,0.0,0.0,12.0,20,0.0,5.26,11.11,794.0,True,False,False,False,VISIBLE,9b8c111f-11a7-4f4d-a69f-dc1ba5e76621,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9b8c111f-11a7-4f4d-a69f-dc1ba5e76621,Base Set,Common,2,Dunk,12000,20,0.0,-6,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,107-113,Final,7.0
Talen Horton-Tucker,LAL,1629659,31,15,16,0.484,26.90994623655914,4.0,9.64516129032258,0.415,0.8064516129032258,3.193548387096774,0.253,1.6451612903225807,2.096774193548387,0.785,0.6451612903225806,2.838709677419355,3.4838709677419355,2.6774193548387095,1.5483870967741935,0.9354838709677419,0.4838709677419355,0.5161290322580645,2.6774193548387095,1,10.451612903225806,-31,1,0,ACTIVE,1629659.0,5,nan,0,-,1,nan,nan,3,0,0,5,1,0.2,0,3.0,3,0,2,2,1.0,46,21.933666666666667,58,12,5,0,0,0,0,1,1,2,2,1,0.5,2,3,0,0.0,MIA,107,113,,0.0,2022-01-24 03:00,Base Set,Common,3,Dunk,2021-11-16 03:30:00+00:00,Los Angeles Lakers,60000,32831.0,0.0,13123.0,15432.0,0.0,2.0,3,0.0,0.0,0.0,2286.0,nan,nan,nan,nan,VISIBLE,7995e88d-4642-4991-8fca-8f75beccca66,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+7995e88d-4642-4991-8fca-8f75beccca66,Metallic Gold LE,Rare,2,Dunk,499,215,0.0,-6,Base Set-Common-3-Dunk,Metallic Gold LE-Rare-2-Dunk,107-113,Final,5.0
Trevor Ariza,LAL,2772,13,6,7,0.462,18.821538461538463,1.1538461538461537,3.4615384615384617,0.333,0.9230769230769231,2.923076923076923,0.316,0.15384615384615385,0.3076923076923077,0.5,0.3076923076923077,3.076923076923077,3.3846153846153846,1.1538461538461537,0.5384615384615384,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.5384615384615384,0,3.3846153846153846,-38,0,0,ACTIVE,2772.0,1,PF,1,-,1,nan,nan,0,0,0,5,0,0.0,0,1.0,0,0,0,0,0.0,37,14.766666666666667,28,-9,0,0,0,0,5,0,5,0,5,0,0.0,4,0,0,0.0,MIA,107,113,,0.0,2022-01-24 02:43,Base Set,Common,1,Dunk,2020-01-27 02:00:00+00:00,Portland Trail Blazers,3345,2597.0,0.0,373.0,375.0,0.0,25.0,60,-6.25,-6.25,20.0,122.0,True,False,False,False,VISIBLE,1fc9b2f1-d444-4645-a12a-7d0500214fa2,7b797690-5b53-45a7-b972-bd2d5152654a,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+1fc9b2f1-d444-4645-a12a-7d0500214fa2,Metallic Gold LE,Rare,1,Dunk,299,265,0.0,-6,Base Set-Common-1-Dunk,Metallic Gold LE-Rare-1-Dunk,107-113,Final,0.0
Wayne Ellington,LAL,201961,31,12,19,0.387,19.804139784946234,2.129032258064516,5.32258064516129,0.4,1.8709677419354838,4.870967741935484,0.384,0.12903225806451613,0.16129032258064516,0.8,0.22580645161290322,1.3870967741935485,1.6129032258064515,0.7096774193548387,0.45161290322580644,0.5161290322580645,0.06451612903225806,0.0967741935483871,1.0,0,6.258064516129032,-54,0,0,ACTIVE,201961.0,2,nan,0,-,1,nan,nan,0,0,0,2,1,0.5,0,1.0,0,0,0,0,0.0,23,9.766666666666667,17,-6,3,0,0,0,1,0,1,0,2,1,0.5,0,0,0,0.0,MIA,107,113,,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6,nan,nan,107-113,Final,3.0
Bam Adebayo,MIA,1628389,22,13,9,0.591,32.85401515151515,6.863636363636363,13.181818181818182,0.521,0.0,0.045454545454545456,0.0,4.7272727272727275,6.136363636363637,0.77,2.5454545454545454,7.318181818181818,9.863636363636363,3.3181818181818183,3.0,1.2272727272727273,0.5454545454545454,0.9090909090909091,3.227272727272727,5,18.454545454545453,49,10,0,ACTIVE,1628389.0,13,C,1,-,1,nan,nan,5,1,0,10,6,0.6,3,5.0,6,0,2,2,1.0,67,32.83316666666666,75,8,14,0,10,0,7,1,8,1,0,0,0.0,5,10,6,0.6,LAL,113,107,,0.0,2022-01-24 02:38,Base Set,Common,2,Dunk,2021-01-02 00:00:00+00:00,Miami Heat,35000,31620.0,0.0,2217.0,1170.0,0.0,12.0,5,0.0,0.0,25.0,1841.0,False,False,False,False,VISIBLE,e01fe269-5939-452e-9630-83ffaf88ea2e,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e01fe269-5939-452e-9630-83ffaf88ea2e,Metallic Gold LE,Rare,2,Jump Shot,499,295,-1.34,6,Base Set-Common-2-Dunk,Metallic Gold LE-Rare-2-Jump Shot,113-107,Final,14.0
Caleb Martin,MIA,1628997,37,23,14,0.622,23.144459459459462,3.7567567567567566,7.243243243243243,0.519,1.054054054054054,2.7567567567567566,0.382,1.162162162162162,1.6216216216216217,0.717,1.2432432432432432,2.7027027027027026,3.945945945945946,0.918918918918919,0.8108108108108109,1.054054054054054,0.5405405405405406,0.35135135135135137,1.7567567567567568,1,9.72972972972973,95,1,0,ACTIVE,1628997.0,16,nan,0,-,1,nan,nan,0,1,0,9,5,0.555555555555556,0,2.0,3,0,4,3,0.75,49,23.266666666666666,51,2,15,4,6,0,1,1,2,1,2,2,1.0,0,7,3,0.428571428571429,LAL,113,107,,0.0,2022-01-24 03:00,Base Set,Common,3,Layup,2021-11-06 23:30:00+00:00,Miami Heat,60000,31797.0,0.0,14144.0,15585.0,0.0,2.0,3,0.0,0.0,0.0,2772.0,nan,nan,nan,nan,VISIBLE,ef44c60e-de84-4f4d-af05-d6fa6ddee78e,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+ef44c60e-de84-4f4d-af05-d6fa6ddee78e,Throwdowns,Rare,2,Dunk,1800,95,-3.06,6,Base Set-Common-3-Layup,Throwdowns-Rare-2-Dunk,113-107,Final,15.0
Chris Silva,MIA,1629735,7,5,2,0.714,8.973809523809525,1.1428571428571428,1.8571428571428572,0.615,0.0,0.0,0.0,1.1428571428571428,1.4285714285714286,0.8,1.4285714285714286,2.2857142857142856,3.7142857142857144,0.42857142857142855,0.5714285714285714,0.0,0.0,0.2857142857142857,1.8571428571428572,1,3.4285714285714284,-15,0,0,ACTIVE,1629735.0,30,nan,0,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAL,113,107,,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,nan,nan,113-107,Final,0.0
Dewayne Dedmon,MIA,203473,40,25,15,0.625,16.805791666666668,2.675,4.45,0.601,0.3,0.525,0.571,1.075,1.4,0.768,1.875,4.3,6.175,0.775,1.025,0.4,0.5,0.425,2.225,1,6.725,94,3,0,ACTIVE,203473.0,21,nan,0,-,1,nan,nan,0,0,0,5,4,0.8,0,2.0,2,0,1,1,1.0,25,8.015833333333333,25,0,9,0,8,2,2,1,3,0,0,0,0.0,1,5,4,0.8,LAL,113,107,,0.0,2022-01-24 03:01,Base Set,Common,3,Dunk,2021-12-19 23:00:00+00:00,Miami Heat,12000,7860.0,0.0,935.0,3207.0,0.0,2.0,8,14.29,14.29,14.29,305.0,True,nan,nan,nan,VISIBLE,cc617c04-0c80-433f-8b81-88712f7a70fd,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+cc617c04-0c80-433f-8b81-88712f7a70fd,Base Set,Common,3,Dunk,12000,8,14.29,6,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,113-107,Final,9.0
Duncan Robinson,MIA,1629130,44,29,15,0.659,27.76689393939394,4.0227272727272725,10.227272727272727,0.393,3.0681818181818183,8.568181818181818,0.358,0.7272727272727273,0.9090909090909091,0.8,0.4090909090909091,2.7954545454545454,3.2045454545454546,1.5,0.8409090909090909,0.7272727272727273,0.20454545454545456,0.38636363636363635,2.659090909090909,0,11.840909090909092,56,0,0,ACTIVE,1629130.0,55,SG,1,-,1,nan,nan,3,0,1,13,8,0.615384615384615,0,2.0,4,0,4,3,0.75,98,41.83316666666666,99,1,25,3,4,0,4,1,5,2,11,6,0.545454545454545,3,2,2,1.0,LAL,113,107,,0.0,2022-01-24 02:38,Base Set,Common,2,3 Pointer,2021-01-19 01:00:00+00:00,Miami Heat,40000,35150.0,0.0,3096.0,1777.0,0.0,12.0,5,-16.67,0.0,25.0,1396.0,False,False,False,False,VISIBLE,3a89de62-baf1-41a2-aa76-d060de478f2b,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3a89de62-baf1-41a2-aa76-d060de478f2b,Metallic Gold LE,Rare,1,3 Pointer,299,595,0.0,6,Base Set-Common-2-3 Pointer,Metallic Gold LE-Rare-1-3 Pointer,113-107,Final,25.0
