name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,player_id_prev,gp_prev,w_prev,l_prev,w_pct_prev,min_prev,fgm_prev,fga_prev,fg_pct_prev,fg3m_prev,fg3a_prev,fg3_pct_prev,ftm_prev,fta_prev,ft_pct_prev,oreb_prev,dreb_prev,reb_prev,ast_prev,tov_prev,stl_prev,blk_prev,blka_prev,pf_prev,pfd_prev,pts_prev,plus_minus_prev,dd2_prev,td3_prev,game_id_prev,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,reb_proj
Aaron Nesmith,BOS,0022100745,1630174.0,34.0,18.0,16.0,0.529,10.612892156862744,1.2647058823529411,3.3823529411764706,0.374,0.5,2.176470588235294,0.23,0.3235294117647059,0.4117647058823529,0.786,0.2647058823529412,1.5,1.7647058823529411,0.35294117647058826,0.5588235294117647,0.29411764705882354,0.058823529411764705,0.029411764705882353,1.3235294117647058,0,3.3529411764705883,-9.0,0.0,0.0,NOP,0022100745,away,1630174.0,1.0,0.0,1.0,0.0,6.183333333333334,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.0,0.0,0.0,0022100737,ACTIVE,1630174.0,26,nan,Bench,-,1,nan,nan,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,13,6.133333333333334,7,-6,0,0,0,0,0,0,0,0,2,0,0.0,1,0,0,0.0,NOP,2022-01-30 00:01,Base Set,Common,3,Dunk,2021-12-21 00:30:00+00:00,Boston Celtics,60000,20359.0,0.0,4402.0,38306.0,0.0,2.0,3,0.00%,0.0,0.0,1119.0,nan,nan,nan,nan,VISIBLE,98cb5c7b-f804-4303-95a3-171fd7f97e0a,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+98cb5c7b-f804-4303-95a3-171fd7f97e0a,0.00%,4000,99,3 Pointer,2,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-2-3 Pointer,97-107,-10.0,1.7647058823529411
Al Horford,BOS,0022100745,201143.0,41.0,21.0,20.0,0.512,28.66837398373984,3.8292682926829267,8.853658536585366,0.433,1.146341463414634,4.024390243902439,0.285,1.3902439024390243,1.6341463414634145,0.851,1.5609756097560976,5.7073170731707314,7.2682926829268295,3.4390243902439024,1.0,0.5853658536585366,1.3414634146341464,0.24390243902439024,2.073170731707317,1,10.195121951219512,53.0,9.0,0.0,NOP,0022100745,away,201143.0,1.0,0.0,1.0,0.0,16.333333333333332,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0022100737,ACTIVE,201143.0,42,PF,Starter,-,1,nan,nan,3,1,0,6,3,0.5,0,1.0,0,0,0,0,0.0,53,24.45,53,0,8,3,2,0,6,0,6,0,2,2,1.0,1,4,1,0.25,NOP,2022-01-29 23:41,Base Set,Common,3,Dunk,2021-11-04 23:30:00+00:00,Boston Celtics,60000,33856.0,0.0,12169.0,17685.0,0.0,2.0,3,0.00%,0.0,0.0,2710.0,nan,nan,nan,nan,VISIBLE,468a3eae-5eb5-4476-8441-79e19ad7e484,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+468a3eae-5eb5-4476-8441-79e19ad7e484,0.00%,1434,55,Block,1,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Block,97-107,-10.0,7.2682926829268295
Brodric Thomas,BOS,0022100745,1630271.0,7.0,3.0,4.0,0.429,3.9388095238095238,0.14285714285714285,1.2857142857142858,0.111,0.0,0.8571428571428571,0.0,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0,0.5714285714285714,4.0,0.0,0.0,NOP,0022100745,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,INACTIVE,1630271.0,97,nan,Bench,-,0,INACTIVE_COACH,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,NOP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,nan,nan,97-107,-10.0,0.7142857142857143
Bruno Fernando,BOS,0022100745,1628981.0,15.0,9.0,6.0,0.6,2.741444444444445,0.26666666666666666,0.5333333333333333,0.5,0.0,0.0,0.0,0.26666666666666666,0.3333333333333333,0.8,0.4,0.3333333333333333,0.7333333333333333,0.06666666666666667,0.3333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.3333333333333333,0,0.8,-29.0,0.0,0.0,NOP,0022100745,away,1628981.0,1.0,0.0,1.0,0.0,2.933333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0022100737,ACTIVE,1628981.0,28,nan,Bench,-,1,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,7,2.1166666666666667,0,-7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,NOP,2022-01-29 23:41,Base Set,Common,2,Dunk,2020-12-24 01:00:00+00:00,Atlanta Hawks,12000,11558.0,0.0,442.0,8.0,0.0,12.0,23,0.00%,0.0,4.55,812.0,True,False,False,False,VISIBLE,146acb17-a138-49fe-bf8a-c038482e9bcf,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+146acb17-a138-49fe-bf8a-c038482e9bcf,0.00%,12000,23,Dunk,2,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,97-107,-10.0,0.7333333333333333
CJ Miles,BOS,0022100745,101139.0,1.0,1.0,0.0,1.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-5.0,0.0,0.0,NOP,0022100745,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,nan,nan,97-107,-10.0,0.0
Dennis Schroder,BOS,0022100745,203471.0,43.0,22.0,21.0,0.512,30.735,5.465116279069767,12.465116279069768,0.438,1.4186046511627908,4.023255813953488,0.353,2.697674418604651,3.1627906976744184,0.853,0.6046511627906976,2.8372093023255816,3.441860465116279,4.558139534883721,2.13953488372093,0.9069767441860465,0.09302325581395349,0.9534883720930233,2.395348837209302,3,15.046511627906977,67.0,0.0,0.0,NOP,0022100745,away,203471.0,1.0,0.0,1.0,0.0,15.283333333333333,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,-18.0,0.0,0.0,0022100737,ACTIVE,203471.0,71,nan,Bench,-,1,nan,nan,0,0,0,4,1,0.25,0,2.0,2,0,2,1,0.5,36,15.966666666666667,25,-11,4,0,0,0,1,0,1,0,3,1,0.333333333333333,4,1,0,0.0,NOP,2022-01-29 23:34,Base Set,Common,2,Assist,2021-03-20 19:30:00+00:00,Los Angeles Lakers,40000,32750.0,0.0,4479.0,2850.0,0.0,12.0,5,0.00%,0.0,-16.67,976.0,False,False,False,False,VISIBLE,51292182-f528-4eee-a150-7348fb3512de,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+51292182-f528-4eee-a150-7348fb3512de,0.00%,2852,43,Layup,1,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-2-Assist,Base Set-Common-1-Layup,97-107,-10.0,3.441860465116279
Enes Freedom,BOS,0022100745,202683.0,32.0,17.0,15.0,0.531,12.337291666666667,1.5,2.8125,0.533,0.03125,0.125,0.25,0.6875,0.8125,0.846,1.8125,2.78125,4.59375,0.1875,0.59375,0.15625,0.4375,0.46875,1.21875,0,3.71875,65.0,2.0,0.0,NOP,0022100745,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ACTIVE,202683.0,13,nan,Bench,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,NOP,2022-01-29 23:43,Base Set,Common,1,Steal,2019-12-13 01:00:00+00:00,Boston Celtics,2488,1758.0,0.0,352.0,380.0,0.0,25.0,65,-1.52%,-7.14,3.17,101.0,True,False,False,False,VISIBLE,34169e0a-8c2c-47f4-97c8-f63bbf727290,7b797690-5b53-45a7-b972-bd2d5152654a,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+34169e0a-8c2c-47f4-97c8-f63bbf727290,-1.52%,2488,65,Steal,1,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-1-Steal,Base Set-Common-1-Steal,97-107,-10.0,4.59375
Grant Williams,BOS,0022100745,1629684.0,45.0,23.0,22.0,0.511,22.840703703703703,2.3777777777777778,5.0,0.476,1.4444444444444444,3.4,0.425,0.8888888888888888,1.0,0.889,0.7777777777777778,2.511111111111111,3.2888888888888888,1.0444444444444445,0.7555555555555555,0.4888888888888889,0.6666666666666666,0.15555555555555556,2.1333333333333333,1,7.088888888888889,21.0,0.0,0.0,NOP,0022100745,away,1629684.0,1.0,0.0,1.0,0.0,23.1,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,-14.0,0.0,0.0,0022100737,ACTIVE,1629684.0,12,nan,Bench,-,1,nan,nan,0,1,0,2,1,0.5,0,1.0,2,0,0,0,0.0,46,22.583333333333332,36,-10,3,0,0,0,5,1,6,0,2,1,0.5,2,0,0,0.0,NOP,2022-01-29 23:33,Base Set,Common,2,3 Pointer,2021-02-03 03:00:00+00:00,Boston Celtics,12000,9324.0,0.0,1343.0,1338.0,0.0,12.0,18,0.00%,0.0,20.0,131.0,True,False,False,False,VISIBLE,efcb7748-91e3-49ee-ac62-960b919967ab,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+efcb7748-91e3-49ee-ac62-960b919967ab,0.00%,12000,18,3 Pointer,2,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,97-107,-10.0,3.2888888888888888
Jabari Parker,BOS,0022100745,203953.0,12.0,4.0,8.0,0.333,9.37125,1.5,3.1666666666666665,0.474,0.6666666666666666,1.3333333333333333,0.5,0.75,0.75,1.0,0.4166666666666667,1.9166666666666667,2.3333333333333335,0.5,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,1.0833333333333333,0,4.416666666666667,-7.0,0.0,0.0,NOP,0022100745,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,nan,nan,97-107,-10.0,2.3333333333333335
Jaylen Brown,BOS,0022100745,1627759.0,36.0,18.0,18.0,0.5,34.43439814814815,8.694444444444445,19.194444444444443,0.453,2.8333333333333335,7.888888888888889,0.359,3.861111111111111,4.888888888888889,0.79,0.8333333333333334,5.944444444444445,6.777777777777778,3.0277777777777777,2.9722222222222223,1.0555555555555556,0.3888888888888889,1.4444444444444444,2.75,4,24.083333333333332,140.0,8.0,1.0,NOP,0022100745,away,1627759.0,1.0,0.0,1.0,0.0,35.333333333333336,9.0,22.0,0.409,2.0,9.0,0.222,6.0,7.0,0.857,2.0,10.0,12.0,3.0,7.0,0.0,0.0,3.0,5.0,6.0,26.0,-9.0,1.0,0.0,0022100737,ACTIVE,1627759.0,7,SG,Starter,-,1,nan,nan,3,0,0,20,11,0.55,0,5.0,1,0,7,5,0.714285714285714,68,35.26533333333333,85,17,31,6,12,3,2,0,2,1,9,4,0.444444444444444,1,11,7,0.636363636363636,NOP,2022-01-29 23:38,Base Set,Common,2,Dunk,2021-02-03 03:00:00+00:00,Boston Celtics,35000,31804.0,0.0,2604.0,619.0,0.0,12.0,5,-16.67%,-16.67,-16.67,2367.0,False,False,False,False,VISIBLE,8e6b8ea8-b1b0-4ac1-ba99-d65b010a0242,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8e6b8ea8-b1b0-4ac1-ba99-d65b010a0242,-6.58%,1354,369,Handles,1,Base Set,Common,nan,nan,1610612738,107,BOS,,Final,1610612740,97,NOP,4,2022-01-29 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-Handles,97-107,-10.0,6.777777777777778
