NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Will Barton,DEN,1.30,2021 NBA Playoffs,Common,2,Dunk,11500,16.00,0.00,Base Set,Common,2,Dunk,12000,18.00,0.00
Marvin Bagley III,SAC,1.30,Base Set,Common,2,Dunk,40000,6.00,20.00,Base Set,Common,1,Dunk,3999,36.00,-2.70
Brandon Boston Jr.,LAC,1.29,Base Set,Common,3,Jump Shot,4000,83.00,1.22,Base Set,Common,3,Jump Shot,4000,83.00,1.22
Lou Williams,ATL,1.28,Base Set,Common,2,Assist,40000,5.00,25.00,Base Set,Common,1,Handles,3999,38.00,0.00
Drew Eubanks,SAS,1.26,Base Set,Common,3,Block,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,7.00,0.00
Derrick Jones Jr.,CHI,1.26,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,8.00,0.00
Amir Coffey,LAC,1.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cameron Johnson,PHX,1.26,Base Set,Common,2,Layup,40000,5.00,25.00,Base Set,Common,2,Dunk,12000,12.00,9.09
Rajon Rondo,CLE,1.25,Archive Set,Common,S21,Layup,20000,9.00,0.00,Base Set,Common,1,Assist,2077,154.00,6.21
Tyler Cook,CHI,1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brandon Clarke,MEM,1.24,Base Set,Common,2,Dunk,40000,4.00,0.00,Base Set,Common,2,Layup,12000,9.00,12.50
Damian Jones,SAC,1.21,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,12.00,0.00
Clint Capela,ATL,1.21,Base Set,Common,3,Block,60000,3.00,50.00,Base Set,Common,2,Dunk,12000,11.00,0.00
Louis King,SAC,1.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nic Claxton,BKN,1.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
