name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,pts_proj,ast_proj
Chris Duarte,IND,0022100760,1630537,43,18,25,0.419,28.758488372093023,5.069767441860465,11.627906976744185,0.436,1.744186046511628,4.976744186046512,0.35,1.441860465116279,1.930232558139535,0.747,0.7209302325581395,3.441860465116279,4.162790697674419,2.2093023255813953,1.627906976744186,1.0930232558139534,0.16279069767441862,0.6976744186046512,1.697674418604651,1,13.325581395348838,19,0,0,LAC,0022100760,home,ACTIVE,1630537.0,3,SG,Starter,-,1,nan,nan,2,1,1,11,3,0.272727272727273,0,1.0,0,0,2,2,1.0,76,29.666666666666668,69,-7,8,2,6,2,4,1,5,2,1,0,0.0,1,10,3,0.3,LAC,2022-02-01 01:54,Base Set,Common,3,3 Pointer,2021-10-20 23:00:00+00:00,Indiana Pacers,4000,2193.0,0.0,122.0,1685.0,0.0,2.0,170,-12.82%,0.0,-5.03,96.0,True,True,True,True,VISIBLE,9725cfcd-f262-4ea8-b865-3a94dfe7736b,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+9725cfcd-f262-4ea8-b865-3a94dfe7736b,-12.82%,4000,170,3 Pointer,3,Base Set,Common,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-3 Pointer,Base Set-Common-3-3 Pointer,116-122,-6,13.325581395348838,2.2093023255813953
DeJon Jarreau,IND,0022100760,1630610,1,0,1,0.0,0.8616666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0,0,LAC,0022100760,home,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,0.0,0.0
Domantas Sabonis,IND,0022100760,1627734,46,16,30,0.348,34.912608695652175,7.108695652173913,12.23913043478261,0.581,0.7608695652173914,2.347826086956522,0.324,4.130434782608695,5.565217391304348,0.742,3.3043478260869565,8.782608695652174,12.08695652173913,5.043478260869565,3.0217391304347827,1.0,0.4782608695652174,0.782608695652174,3.108695652173913,5,19.108695652173914,33,34,5,LAC,0022100760,home,INACTIVE,1627734.0,11,nan,Bench,-,0,INACTIVE_HEALTH_AND_SAFETY_PROTOCOLS,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,2022-02-01 01:58,Base Set,Common,2,Block,2021-01-07 00:00:00+00:00,Indiana Pacers,35000,32502.0,0.0,2065.0,480.0,0.0,12.0,5,25.00%,-16.67,25.0,1944.0,False,False,False,False,VISIBLE,d0b0aeac-ebbf-4cd9-9957-d61366645643,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d0b0aeac-ebbf-4cd9-9957-d61366645643,-4.08%,3999,94,Dunk,1,Base Set,Common,"Mon, Jan 31",INJ - exp. back Feb 6,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Block,Base Set-Common-1-Dunk,116-122,-6,19.108695652173914,5.043478260869565
Duane Washington Jr.,IND,0022100760,1630613,19,5,14,0.263,19.405263157894737,3.263157894736842,8.473684210526315,0.385,1.5263157894736843,4.368421052631579,0.349,0.7894736842105263,1.0526315789473684,0.75,0.05263157894736842,1.4736842105263157,1.5263157894736843,1.7894736842105263,1.105263157894737,0.42105263157894735,0.05263157894736842,0.631578947368421,1.105263157894737,1,8.842105263157896,-87,0,0,LAC,0022100760,home,ACTIVE,1630613.0,4,nan,Bench,-,1,nan,nan,4,0,0,13,6,0.461538461538462,0,2.0,2,0,0,0,0.0,56,23.85,68,12,16,3,4,0,4,0,4,0,7,4,0.5714285714285711,1,6,2,0.333333333333333,LAC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,8.842105263157896,1.7894736842105263
Goga Bitadze,IND,0022100760,1629048,30,12,18,0.4,10.417222222222222,1.7,3.8666666666666667,0.44,0.2,1.3333333333333333,0.15,0.9,1.4333333333333333,0.628,1.4333333333333333,1.4666666666666666,2.9,0.5666666666666667,0.7,0.3333333333333333,0.6,0.36666666666666664,1.6333333333333333,1,4.5,-8,1,0,LAC,0022100760,home,INACTIVE,1629048.0,88,nan,Bench,-,0,INACTIVE_INJURY,Right Foot; Sore,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,2022-02-01 01:33,Base Set,Common,2,Layup,2021-04-03 00:00:00+00:00,Indiana Pacers,12000,11252.0,0.0,594.0,159.0,0.0,12.0,18,-14.29%,12.5,20.0,288.0,True,False,False,False,VISIBLE,2e6fd9a1-0db7-4eb5-bedd-43c781735d3a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2e6fd9a1-0db7-4eb5-bedd-43c781735d3a,-14.29%,12000,18,Layup,2,Base Set,Common,"Mon, Jan 31",INJ - exp. back Feb 2,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,116-122,-6,4.5,0.5666666666666667
Isaiah Jackson,IND,0022100760,1630543,17,5,12,0.294,8.869803921568627,1.6470588235294117,3.3529411764705883,0.491,0.11764705882352941,0.23529411764705882,0.5,1.1764705882352942,1.7058823529411764,0.69,1.1176470588235294,1.4705882352941178,2.588235294117647,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.7647058823529411,0.29411764705882354,2.0588235294117645,1,4.588235294117647,-40,0,0,LAC,0022100760,home,ACTIVE,1630543.0,23,C,Starter,-,1,nan,nan,0,2,0,19,12,0.631578947368421,0,4.0,0,0,2,1,0.5,64,29.4165,73,9,26,2,22,4,6,4,10,1,3,1,0.333333333333333,0,16,11,0.6875,LAC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,4.588235294117647,0.4117647058823529
Jeremy Lamb,IND,0022100760,203087,36,14,22,0.389,15.679675925925928,2.25,5.972222222222222,0.377,1.0277777777777777,3.0833333333333335,0.333,1.8055555555555556,2.111111111111111,0.855,0.4166666666666667,2.0,2.4166666666666665,1.3333333333333333,0.6666666666666666,0.6111111111111112,0.3888888888888889,0.16666666666666666,1.1944444444444444,1,7.333333333333333,49,0,0,LAC,0022100760,home,ACTIVE,203087.0,26,nan,Bench,-,1,nan,nan,2,0,0,5,3,0.6,0,2.0,1,0,2,1,0.5,63,26.783333333333335,71,8,9,0,2,3,6,0,6,0,4,2,0.5,0,1,1,1.0,LAC,2022-02-01 01:34,Base Set,Common,2,3 Pointer,2021-02-03 01:00:00+00:00,Indiana Pacers,12000,10875.0,0.0,728.0,399.0,0.0,12.0,15,-6.25%,0.0,36.36,286.0,True,False,False,False,VISIBLE,c831e133-5238-4747-a7de-f238ae02267a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c831e133-5238-4747-a7de-f238ae02267a,-6.25%,12000,15,3 Pointer,2,Base Set,Common,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,116-122,-6,7.333333333333333,1.3333333333333333
Justin Anderson,IND,0022100760,1626147,3,0,3,0.0,10.094444444444445,0.6666666666666666,3.6666666666666665,0.182,0.3333333333333333,3.0,0.111,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,0,2.6666666666666665,9,0,0,LAC,0022100760,home,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,2.6666666666666665,1.0
Justin Holiday,IND,0022100760,203200,45,15,30,0.333,28.54077777777778,3.8444444444444446,9.28888888888889,0.414,2.577777777777778,6.933333333333334,0.372,0.7555555555555555,0.9111111111111111,0.829,0.35555555555555557,2.4,2.7555555555555555,1.7555555555555555,0.9777777777777777,0.6888888888888889,0.3333333333333333,0.2222222222222222,2.2,0,11.022222222222222,-90,0,0,LAC,0022100760,home,ACTIVE,203200.0,8,SF,Starter,-,1,nan,nan,6,2,0,9,5,0.555555555555556,0,0.0,2,0,0,0,0.0,86,33.933166666666665,91,5,13,2,4,2,4,1,5,0,5,3,0.6,1,4,2,0.5,LAC,2022-02-01 01:57,Base Set,Common,3,Dunk,2021-11-28 22:00:00+00:00,Indiana Pacers,60000,29024.0,0.0,9756.0,25377.0,0.0,2.0,3,0.00%,0.0,0.0,1934.0,nan,nan,nan,nan,VISIBLE,bf1d710f-7279-4ce1-82ca-f866c0249e23,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+bf1d710f-7279-4ce1-82ca-f866c0249e23,5.71%,2767,37,Layup,1,Base Set,Common,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Layup,116-122,-6,11.022222222222222,1.7555555555555555
Keifer Sykes,IND,0022100760,1626208,14,2,12,0.143,20.491666666666667,2.7142857142857144,6.857142857142857,0.396,1.0,3.2142857142857144,0.311,0.7142857142857143,0.7857142857142857,0.909,0.35714285714285715,1.5,1.8571428571428572,2.357142857142857,1.5,0.5,0.14285714285714285,0.2857142857142857,1.9285714285714286,0,7.142857142857143,-18,0,0,LAC,0022100760,home,ACTIVE,1626208.0,28,nan,Bench,-,1,nan,nan,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,7.142857142857143,2.357142857142857
Kelan Martin,IND,0022100760,1629103,27,12,15,0.444,16.445740740740742,2.5925925925925926,6.222222222222222,0.417,0.8148148148148148,2.740740740740741,0.297,0.3333333333333333,0.48148148148148145,0.692,0.5925925925925926,1.3703703703703705,1.962962962962963,0.7777777777777778,0.5185185185185185,0.48148148148148145,0.3333333333333333,0.37037037037037035,1.3333333333333333,0,6.333333333333333,-45,0,0,LAC,0022100760,home,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,2022-02-01 01:57,Base Set,Common,3,Jump Shot,2021-11-14 00:00:00+00:00,Indiana Pacers,12000,8469.0,0.0,1410.0,2136.0,0.0,2.0,8,0.00%,14.29,33.33,238.0,True,nan,nan,nan,VISIBLE,19d764e7-d54f-469b-b490-60c0d86601c3,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+19d764e7-d54f-469b-b490-60c0d86601c3,0.00%,12000,8,Jump Shot,3,Base Set,Common,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Jump Shot,Base Set-Common-3-Jump Shot,116-122,-6,6.333333333333333,0.7777777777777778
Lance Stephenson,IND,0022100760,202362,15,4,11,0.267,19.177333333333333,3.533333333333333,7.866666666666666,0.449,0.8,2.8,0.286,1.1333333333333333,1.5333333333333334,0.739,0.3333333333333333,2.6,2.933333333333333,4.133333333333334,1.8666666666666667,0.6,0.06666666666666667,0.3333333333333333,2.1333333333333333,1,9.0,-23,2,0,LAC,0022100760,home,ACTIVE,202362.0,6,nan,Bench,-,1,nan,nan,4,0,0,6,5,0.833333333333334,0,0.0,1,0,0,0,0.0,34,12.416833333333333,39,5,10,0,6,0,3,0,3,0,1,0,0.0,2,5,5,1.0,LAC,2022-02-01 01:56,Base Set,Common,3,3 Pointer,2022-01-06 00:30:00+00:00,Indiana Pacers,12000,7909.0,0.0,391.0,3705.0,0.0,2.0,18,-10.00%,5.88,28.57,232.0,True,nan,nan,nan,VISIBLE,587afb38-dfe7-4f88-82ff-fa44d2000597,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+587afb38-dfe7-4f88-82ff-fa44d2000597,-10.00%,12000,18,3 Pointer,3,Base Set,Common,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-3 Pointer,Base Set-Common-3-3 Pointer,116-122,-6,9.0,4.133333333333334
Malcolm Brogdon,IND,0022100760,1627763,28,11,17,0.393,33.35375,6.571428571428571,14.678571428571429,0.448,1.6428571428571428,5.357142857142857,0.307,3.75,4.357142857142857,0.861,0.8571428571428571,4.285714285714286,5.142857142857143,5.928571428571429,2.1785714285714284,0.8571428571428571,0.39285714285714285,0.9285714285714286,2.0357142857142856,3,18.535714285714285,48,4,1,LAC,0022100760,home,INACTIVE,1627763.0,7,nan,Bench,-,0,INACTIVE_INJURY,Right Achilles; Sore,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,2022-02-01 01:57,Base Set,Common,3,Layup,2021-11-23 01:00:00+00:00,Indiana Pacers,60000,31932.0,0.0,12170.0,19787.0,0.0,2.0,3,0.00%,0.0,0.0,2631.0,nan,nan,nan,nan,VISIBLE,c38abe8b-f48e-4c6c-8edc-47a476f82a01,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+c38abe8b-f48e-4c6c-8edc-47a476f82a01,0.00%,1430,80,Dunk,1,Base Set,Common,"Mon, Jan 31",INJ - exp. back Feb 8,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-1-Dunk,116-122,-6,18.535714285714285,5.928571428571429
Myles Turner,IND,0022100760,1626167,42,15,27,0.357,29.398293650793647,4.761904761904762,9.357142857142858,0.509,1.4523809523809523,4.357142857142857,0.333,1.880952380952381,2.5,0.752,1.5476190476190477,5.523809523809524,7.071428571428571,1.0476190476190477,1.2857142857142858,0.6666666666666666,2.8095238095238093,0.35714285714285715,2.8333333333333335,2,12.857142857142858,-14,9,0,LAC,0022100760,home,INACTIVE,1626167.0,33,nan,Bench,-,0,INACTIVE_INJURY,Left Foot; Stress Reaction,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,2022-02-01 01:58,Base Set,Common,2,Block,2021-01-23 00:00:00+00:00,Indiana Pacers,40000,36179.0,0.0,2829.0,1088.0,0.0,12.0,5,0.00%,25.0,25.0,1830.0,False,False,False,False,VISIBLE,90b8821d-6791-4cb6-a1a6-3f24437e5625,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+90b8821d-6791-4cb6-a1a6-3f24437e5625,0.00%,3999,59,Dunk,1,Base Set,Common,"Tue, Jan 18",INJ - exp. back Feb 11,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Block,Base Set-Common-1-Dunk,116-122,-6,12.857142857142858,1.0476190476190477
Nate Hinton,IND,0022100760,1630207,2,0,2,0.0,1.2133333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,4,0,0,LAC,0022100760,home,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,0.0,0.0
Oshae Brissett,IND,0022100760,1629052,40,13,27,0.325,19.138291666666667,2.3,5.625,0.409,0.85,2.6,0.327,0.95,1.525,0.623,1.25,3.1,4.35,0.7,0.675,0.55,0.325,0.4,1.4,1,6.4,-76,0,0,LAC,0022100760,home,ACTIVE,1629052.0,12,nan,Bench,-,0,DND_INJURY,Right Ankle; Sore,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,2022-02-01 01:58,Base Set,Common,3,Dunk,2021-12-11 00:00:00+00:00,Indiana Pacers,12000,8155.0,0.0,1145.0,2706.0,0.0,2.0,15,0.00%,-6.25,66.67,239.0,True,nan,nan,nan,VISIBLE,8ab5268f-6a58-4ab5-8e8e-8be7601df2f8,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+8ab5268f-6a58-4ab5-8e8e-8be7601df2f8,0.00%,12000,15,Dunk,3,Base Set,Common,"Mon, Jan 31",INJ - exp. back Feb 2,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,116-122,-6,6.4,0.7
T.J. McConnell,IND,0022100760,204456,24,9,15,0.375,24.19701388888889,3.7916666666666665,7.541666666666667,0.503,0.2916666666666667,1.0416666666666667,0.28,0.5,0.625,0.8,0.7916666666666666,2.5416666666666665,3.3333333333333335,4.791666666666667,1.1666666666666667,1.0416666666666667,0.375,0.3333333333333333,1.7916666666666667,1,8.375,-58,1,0,LAC,0022100760,home,INACTIVE,204456.0,9,nan,Bench,-,0,INACTIVE_INJURY,Right Wrist; Ligament surgery,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,LAC,2022-02-01 01:56,Base Set,Common,3,Layup,2021-11-07 23:00:00+00:00,Indiana Pacers,60000,32965.0,0.0,13061.0,18502.0,0.0,2.0,3,0.00%,0.0,0.0,2539.0,nan,nan,nan,nan,VISIBLE,39d1e235-21e3-4b46-a19e-a48c3b130b40,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+39d1e235-21e3-4b46-a19e-a48c3b130b40,0.00%,1500,34,Assist,1,Base Set,Common,"Thu, Jan 20",INJ - exp. back Mar 2,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-1-Assist,116-122,-6,8.375,4.791666666666667
Terry Taylor,IND,0022100760,1630678,5,1,4,0.2,6.908666666666667,1.2,1.8,0.667,0.0,0.2,0.0,0.6,0.8,0.75,1.2,1.4,2.6,0.6,0.0,0.0,0.4,0.2,0.4,0,3.0,5,0,0,LAC,0022100760,home,ACTIVE,1630678.0,32,nan,Bench,-,1,nan,nan,2,0,1,11,7,0.636363636363636,0,0.0,1,0,0,0,0.0,55,21.166833333333333,54,-1,15,0,12,6,3,5,8,0,1,1,1.0,0,10,6,0.6,LAC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,nan,nan,116-122,-6,3.0,0.6
Torrey Craig,IND,0022100760,1628470,46,16,30,0.348,18.895615942028986,2.391304347826087,5.130434782608695,0.466,0.8043478260869565,2.5217391304347827,0.319,0.5434782608695652,0.6739130434782609,0.806,1.173913043478261,2.4565217391304346,3.630434782608696,1.108695652173913,0.6956521739130435,0.41304347826086957,0.3695652173913043,0.15217391304347827,1.8043478260869565,0,6.130434782608695,-164,2,0,LAC,0022100760,home,ACTIVE,1628470.0,13,PF,Starter,-,1,nan,nan,2,0,1,9,3,0.333333333333333,0,0.0,2,0,0,0,0.0,61,26.75,62,1,8,0,2,0,2,0,2,0,5,2,0.4,1,4,1,0.25,LAC,2022-02-01 01:41,2021 NBA Playoffs,Common,2,Dunk,2021-06-08 02:00:00+00:00,Phoenix Suns,11500,10925.0,0.0,575.0,40.0,0.0,20.0,25,4.17%,13.64,13.64,316.0,False,False,False,False,VISIBLE,1a511ea4-c825-4fa3-a036-3c653cdf5938,6783b9d8-44c5-49c7-87e0-be217af963e9,https://nbatopshot.com/listings/p2p/6783b9d8-44c5-49c7-87e0-be217af963e9+1a511ea4-c825-4fa3-a036-3c653cdf5938,0.00%,3340,95,Block,1,Base Set,Common,nan,nan,1610612746,116,LAC,,Final,1610612754,122,IND,4,2022-01-31 19:00:00-05:00,2021 NBA Playoffs-Common-2-Dunk,Base Set-Common-1-Block,116-122,-6,6.130434782608695,1.108695652173913
Brandon Clarke,MEM,0022100761,1629634,37,25,12,0.676,18.64364864864865,4.351351351351352,6.648648648648648,0.654,0.10810810810810811,0.4864864864864865,0.222,1.2432432432432432,1.7837837837837838,0.697,1.8918918918918919,3.2432432432432434,5.135135135135135,1.3783783783783783,0.5405405405405406,0.4594594594594595,1.0810810810810811,0.40540540540540543,1.6216216216216217,1,10.054054054054054,76,1,0,PHI,0022100761,away,ACTIVE,1629634.0,15,nan,Bench,On Bench,1,nan,nan,0,1,0,3,2,0.666666666666666,0,0.0,1,0,0,0,0.0,36,12.9345,29,-7,4,0,2,2,0,2,2,1,0,0,0.0,0,3,2,0.666666666666666,PHI,2022-02-01 01:31,Base Set,Common,2,Dunk,2021-03-11 01:00:00+00:00,Memphis Grizzlies,40000,35890.0,0.0,3105.0,1167.0,0.0,12.0,4,0.00%,33.33,-20.0,2150.0,False,False,False,False,VISIBLE,86928b4f-ecb0-48d4-adaf-95eebc85e6dc,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+86928b4f-ecb0-48d4-adaf-95eebc85e6dc,0.00%,12000,13,Layup,2,Base Set,Common,nan,nan,1610612763,119,MEM,,Final/OT,1610612755,122,PHI,5,2022-01-31 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Layup,122-119,3,10.054054054054054,1.3783783783783783
DaQuan Jeffries,MEM,0022100761,1629610,3,3,0,1.0,2.9305555555555554,0.3333333333333333,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0,0.6666666666666666,-3,0,0,PHI,0022100761,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,2022-02-01 01:37,Base Set,Common,2,Dunk,2021-05-09 02:00:00+00:00,Houston Rockets,12000,9940.0,0.0,1221.0,841.0,0.0,12.0,7,0.00%,0.0,40.0,407.0,True,False,False,False,VISIBLE,a3b4e4fd-131a-4fdb-b9a3-5e60b258b62b,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a3b4e4fd-131a-4fdb-b9a3-5e60b258b62b,0.00%,12000,7,Dunk,2,Base Set,Common,nan,nan,1610612763,119,MEM,,Final/OT,1610612755,122,PHI,5,2022-01-31 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,122-119,3,0.6666666666666666,0.3333333333333333
