name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,pts_proj,ast_proj
Josh Hart,NOP,0022100759,1628404,39,15,24,0.385,33.37576923076923,4.846153846153846,9.461538461538462,0.512,1.0256410256410255,3.128205128205128,0.328,2.7435897435897436,3.6923076923076925,0.743,1.3076923076923077,6.410256410256411,7.717948717948718,4.128205128205129,2.0256410256410255,1.0256410256410255,0.28205128205128205,0.6923076923076923,2.8974358974358974,3,13.461538461538462,-110,11,0,CLE,0022100759,away,ACTIVE,1628404.0,3,SG,Starter,-,1,nan,nan,3,0,0,9,2,0.222222222222222,0,4.0,3,0,6,5,0.833333333333334,75,36.81666666666667,67,-8,10,2,2,0,9,1,10,2,5,1,0.2,2,4,1,0.25,CLE,2022-02-01 01:56,Base Set,Common,3,Dunk,2021-11-23 01:00:00+00:00,New Orleans Pelicans,60000,31635.0,0.0,12467.0,19803.0,0.0,2.0,3,0.00%,0.0,50.0,2134.0,nan,nan,nan,nan,VISIBLE,12879722-7a18-48fd-8dad-377d2745125a,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+12879722-7a18-48fd-8dad-377d2745125a,-2.22%,3999,44,Layup,1,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Layup,93-90,3,13.461538461538462,4.128205128205129
Kira Lewis Jr.,NOP,0022100759,1630184,24,6,18,0.25,14.214166666666666,2.4583333333333335,6.083333333333333,0.404,0.5416666666666666,2.4166666666666665,0.224,0.4166666666666667,0.5,0.833,0.375,1.25,1.625,2.0416666666666665,1.0833333333333333,0.4583333333333333,0.041666666666666664,0.25,0.7083333333333334,0,5.875,-107,0,0,CLE,0022100759,away,INACTIVE,1630184.0,13,nan,Bench,-,0,INACTIVE_INJURY,Right Knee ACL/MCL; Sprain,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,CLE,2022-02-01 01:48,Base Set,Common,2,Layup,2020-12-30 03:00:00+00:00,New Orleans Pelicans,4000,3830.0,0.0,164.0,6.0,0.0,12.0,79,2.60%,2.6,-1.25,238.0,True,True,True,True,VISIBLE,4f458aad-8364-42a7-a27f-1b72190407b0,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4f458aad-8364-42a7-a27f-1b72190407b0,2.60%,4000,79,Layup,2,Base Set,Common,"Thu, Dec 9",Out for the season,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,93-90,3,5.875,2.0416666666666665
Naji Marshall,NOP,0022100759,1630230,26,6,20,0.231,10.166153846153845,1.0769230769230769,3.230769230769231,0.333,0.15384615384615385,1.3076923076923077,0.118,1.1538461538461537,1.3461538461538463,0.857,0.5384615384615384,1.7692307692307692,2.3076923076923075,0.8461538461538461,0.8076923076923077,0.38461538461538464,0.11538461538461539,0.3076923076923077,1.0,0,3.4615384615384617,-38,0,0,CLE,0022100759,away,ACTIVE,1630230.0,8,nan,Bench,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,CLE,2022-02-01 01:41,Base Set,Common,2,Assist,2021-01-16 03:00:00+00:00,New Orleans Pelicans,4000,3440.0,0.0,337.0,223.0,0.0,12.0,39,2.63%,2.63,2.63,126.0,True,True,True,True,VISIBLE,d3462ef2-86a7-470a-a793-88453b427184,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d3462ef2-86a7-470a-a793-88453b427184,2.63%,4000,39,Assist,2,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Assist,Base Set-Common-2-Assist,93-90,3,3.4615384615384617,0.8461538461538461
Nickeil Alexander-Walker,NOP,0022100759,1629638,46,16,30,0.348,26.96231884057971,4.804347826086956,12.956521739130435,0.371,1.9565217391304348,6.239130434782608,0.314,1.434782608695652,1.9565217391304348,0.733,0.7608695652173914,2.608695652173913,3.369565217391304,2.782608695652174,1.5869565217391304,0.782608695652174,0.34782608695652173,0.8260869565217391,1.7826086956521738,1,13.0,-146,2,0,CLE,0022100759,away,ACTIVE,1629638.0,6,nan,Bench,-,1,nan,nan,5,0,0,9,4,0.444444444444444,0,0.0,1,0,0,0,0.0,38,19.4665,42,4,8,2,6,0,2,0,2,1,3,0,0.0,3,6,4,0.666666666666666,CLE,2022-02-01 01:59,Base Set,Common,3,Layup,2021-11-14 00:00:00+00:00,New Orleans Pelicans,60000,12826.0,0.0,3134.0,45215.0,0.0,2.0,4,0.00%,0.0,-33.33,331.0,nan,nan,nan,nan,VISIBLE,43ccb8de-caa8-4dd6-b177-9666358363f0,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+43ccb8de-caa8-4dd6-b177-9666358363f0,0.00%,12000,22,Layup,2,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-2-Layup,93-90,3,13.0,2.782608695652174
Tomas Satoransky,NOP,0022100759,203107,32,12,20,0.375,15.025520833333333,1.0,3.34375,0.299,0.15625,0.96875,0.161,0.59375,0.78125,0.76,0.5625,1.4375,2.0,2.375,0.71875,0.4375,0.03125,0.1875,1.03125,0,2.75,-150,0,0,CLE,0022100759,away,ACTIVE,203107.0,31,nan,Bench,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,CLE,2022-02-01 01:34,Base Set,Common,2,Dunk,2021-04-23 01:00:00+00:00,Chicago Bulls,40000,35071.0,0.0,3378.0,1698.0,0.0,12.0,5,25.00%,25.0,0.0,1685.0,False,False,False,False,VISIBLE,a9485940-5d05-4e02-9690-db28c3f14632,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a9485940-5d05-4e02-9690-db28c3f14632,0.00%,3999,29,Dunk,1,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-Dunk,93-90,3,2.75,2.375
Trey Murphy III,NOP,0022100759,1630530,36,13,23,0.361,12.748935185185184,1.2222222222222223,3.7222222222222223,0.328,0.9166666666666666,2.6944444444444446,0.34,0.3888888888888889,0.4722222222222222,0.824,0.6944444444444444,1.4166666666666667,2.111111111111111,0.5555555555555556,0.3055555555555556,0.3055555555555556,0.1388888888888889,0.19444444444444445,0.9444444444444444,0,3.75,-43,0,0,CLE,0022100759,away,ACTIVE,1630530.0,25,nan,Bench,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,CLE,2022-02-01 01:55,Base Set,Common,3,3 Pointer,2021-10-21 00:00:00+00:00,New Orleans Pelicans,4000,2104.0,0.0,151.0,1746.0,0.0,2.0,45,-2.17%,-6.25,4.65,112.0,True,True,True,True,VISIBLE,23a0b351-ef3d-49d4-95a8-b7dc21d03189,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+23a0b351-ef3d-49d4-95a8-b7dc21d03189,-2.17%,4000,45,3 Pointer,3,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-3 Pointer,Base Set-Common-3-3 Pointer,93-90,3,3.75,0.5555555555555556
Willy Hernangomez,NOP,0022100759,1626195,26,10,16,0.385,16.714166666666667,3.5,6.3076923076923075,0.555,0.11538461538461539,0.2692307692307692,0.429,2.076923076923077,2.769230769230769,0.75,2.730769230769231,4.384615384615385,7.115384615384615,1.3076923076923077,1.0384615384615385,0.34615384615384615,0.34615384615384615,0.5384615384615384,1.8461538461538463,2,9.192307692307692,-74,5,0,CLE,0022100759,away,ACTIVE,1626195.0,9,nan,Bench,-,1,nan,nan,2,0,4,12,2,0.166666666666667,1,3.0,2,0,4,3,0.75,26,16.45,26,0,7,2,4,2,4,6,10,0,0,0,0.0,1,12,2,0.166666666666667,CLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,nan,nan,93-90,3,9.192307692307692,1.3076923076923077
Brandon Goodwin,CLE,0022100759,1629164,10,7,3,0.7,13.7195,1.9,5.1,0.373,0.4,1.5,0.267,0.3,1.0,0.3,0.6,1.5,2.1,2.9,0.6,0.9,0.0,0.7,1.1,1,4.5,-9,0,0,NOP,0022100759,home,ACTIVE,1629164.0,00,nan,Bench,-,1,nan,nan,1,0,1,11,8,0.7272727272727271,0,1.0,5,0,2,2,1.0,56,26.88233333333333,62,6,21,5,8,0,1,0,1,1,4,3,0.75,3,7,5,0.714285714285714,NOP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,nan,nan,90-93,-3,4.5,2.9
Cedi Osman,CLE,0022100759,1626224,38,25,13,0.658,22.5925,3.789473684210526,8.81578947368421,0.43,2.0526315789473686,5.684210526315789,0.361,1.1842105263157894,1.8157894736842106,0.652,0.4473684210526316,1.9736842105263157,2.4210526315789473,1.7105263157894737,0.868421052631579,0.9736842105263158,0.21052631578947367,0.3684210526315789,1.868421052631579,1,10.81578947368421,37,0,0,NOP,0022100759,home,ACTIVE,1626224.0,16,PG,Starter,-,1,nan,nan,12,0,1,16,3,0.1875,1,3.0,4,0,1,1,1.0,76,37.951166666666666,72,-4,7,0,6,0,2,0,2,0,7,0,0.0,1,9,3,0.333333333333333,NOP,2022-02-01 01:58,Base Set,Common,2,Block,2021-01-13 00:30:00+00:00,Cleveland Cavaliers,40000,35933.0,0.0,3070.0,1152.0,1.0,12.0,5,0.00%,0.0,0.0,1015.0,False,False,False,False,VISIBLE,4e6d9c30-d5dd-4c26-b282-dcc298badd2c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4e6d9c30-d5dd-4c26-b282-dcc298badd2c,20.00%,3999,42,Assist,1,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Block,Base Set-Common-1-Assist,90-93,-3,10.81578947368421,1.7105263157894737
Collin Sexton,CLE,0022100759,1629012,11,7,4,0.636,28.76742424242424,6.181818181818182,13.727272727272727,0.45,1.0,4.090909090909091,0.244,2.6363636363636362,3.5454545454545454,0.744,1.1818181818181819,2.090909090909091,3.272727272727273,2.090909090909091,2.8181818181818183,0.9090909090909091,0.0,1.4545454545454546,2.272727272727273,3,16.0,-30,0,0,NOP,0022100759,home,INACTIVE,1629012.0,2,nan,Bench,-,0,INACTIVE_INJURY,Left Knee; Meniscal Tear,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,NOP,2022-02-01 01:59,Base Set,Common,3,Dunk,2021-10-28 02:30:00+00:00,Cleveland Cavaliers,60000,12716.0,0.0,3244.0,46128.0,0.0,2.0,3,0.00%,0.0,0.0,461.0,nan,nan,nan,nan,VISIBLE,f633f079-af35-48b8-a818-5a14301c2c2e,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+f633f079-af35-48b8-a818-5a14301c2c2e,-1.52%,3999,65,Dunk,1,Base Set,Common,"Fri, Nov 19",Out for the season,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Dunk,90-93,-3,16.0,2.090909090909091
