name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,notplayingreason,notplayingdescription,player_id,jersey_num,position,starter,on_court,played,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,ast_proj
Kyle Lowry,MIA,0022100521,200768,39,24,15,0.615,34.17957264957265,4.461538461538462,10.820512820512821,0.412,2.076923076923077,6.358974358974359,0.327,2.41025641025641,2.8461538461538463,0.847,0.6153846153846154,3.8461538461538463,4.461538461538462,8.282051282051283,3.051282051282051,1.0256410256410255,0.38461538461538464,0.3333333333333333,2.7948717948717947,3,13.41025641025641,138,12,1,SAS,0022100521,away,ACTIVE,DNP_PERSONAL,nan,200768.0,7,PG,Starter,In Game,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-03 19:38,Base Set,Common,2,Layup,2021-02-06 00:30:00+00:00,Toronto Raptors,35000,32910.0,0.0,1657.0,463.0,0.0,12.0,8,-11.11%,-11.11,0.0,1310.0,False,False,False,False,VISIBLE,04c10ac4-764a-4b42-8b87-a3b44cb11a94,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+04c10ac4-764a-4b42-8b87-a3b44cb11a94,0.00%,1532,250,3 Pointer,1,Base Set,Common,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-1-3 Pointer,0-0,0,0
Marcus Garrett,MIA,0022100521,1630585,12,11,1,0.917,10.685694444444444,0.4166666666666667,1.75,0.238,0.08333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.4166666666666667,0.4,0.75,1.1666666666666667,1.9166666666666667,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25,0.25,1.3333333333333333,0,1.0833333333333333,17,0,0,SAS,0022100521,away,nan,nan,nan,nan,nan,nan,None,None,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,nan,nan,0-0,0,0
Markieff Morris,MIA,0022100521,202693,10,7,3,0.7,18.739333333333335,3.2,7.0,0.457,0.8,2.2,0.364,0.5,0.5,1.0,1.3,1.5,2.8,1.4,1.2,0.3,0.1,0.1,2.2,0,7.7,27,0,0,SAS,0022100521,away,INACTIVE,INACTIVE_RETURN_TO_COMPETITION_RECONDITIONING,nan,202693.0,8,nan,Bench,On Bench,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-03 19:35,Base Set,Common,2,Dunk,2021-05-01 02:30:00+00:00,Los Angeles Lakers,40000,33889.0,0.0,3779.0,2451.0,0.0,12.0,5,-16.67%,-16.67,0.0,1059.0,False,False,False,False,VISIBLE,bb504ccb-5929-4238-9efd-93597183c67f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bb504ccb-5929-4238-9efd-93597183c67f,0.00%,1915,55,3 Pointer,1,Base Set,Common,"Sun, Jan 30",INJ - exp. back Feb 12,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-3 Pointer,0-0,0,0
Max Strus,MIA,0022100521,1629622,41,27,14,0.659,24.341341463414633,3.975609756097561,8.975609756097562,0.443,2.731707317073171,6.7073170731707314,0.407,0.7560975609756098,0.975609756097561,0.775,0.4634146341463415,2.975609756097561,3.4390243902439024,1.2926829268292683,0.7317073170731707,0.2926829268292683,0.1951219512195122,0.3170731707317073,1.7073170731707317,1,11.439024390243903,86,0,0,SAS,0022100521,away,ACTIVE,nan,nan,1629622.0,31,nan,Bench,On Bench,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-03 19:42,Base Set,Common,3,Layup,2021-12-02 00:30:00+00:00,Miami Heat,60000,30433.0,0.0,12297.0,21244.0,0.0,2.0,3,0.00%,50.0,0.0,1333.0,nan,nan,nan,nan,VISIBLE,c29c79ee-f80a-4046-8c09-3bcf1b42828e,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+c29c79ee-f80a-4046-8c09-3bcf1b42828e,0.00%,12000,15,Dunk,2,Base Set,Common,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-2-Dunk,0-0,0,0
Nik Stauskas,MIA,0022100521,203917,2,1,1,0.5,11.8525,1.5,4.0,0.375,1.0,2.0,0.5,1.5,2.0,0.75,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.0,0.5,1,5.5,16,0,0,SAS,0022100521,away,nan,nan,nan,nan,nan,nan,None,None,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,nan,nan,0-0,0,0
Omer Yurtseven,MIA,0022100521,1630209,37,24,13,0.649,14.79481981981982,2.675675675675676,5.108108108108108,0.524,0.02702702702702703,0.1891891891891892,0.143,0.8648648648648649,1.3513513513513513,0.64,1.7837837837837838,4.45945945945946,6.243243243243243,1.1081081081081081,0.918918918918919,0.40540540540540543,0.4864864864864865,0.35135135135135137,1.8108108108108107,1,6.243243243243243,88,8,0,SAS,0022100521,away,INACTIVE,INACTIVE_HEALTH_AND_SAFETY_PROTOCOLS,nan,1630209.0,77,nan,Bench,On Bench,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Sun, Jan 30",INJ - exp. back Feb 7,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,nan,nan,0-0,0,0
P.J. Tucker,MIA,0022100521,200782,45,27,18,0.6,28.64740740740741,3.2444444444444445,6.488888888888889,0.5,1.4666666666666666,3.1333333333333333,0.468,0.7555555555555555,1.0444444444444445,0.723,1.488888888888889,3.933333333333333,5.4222222222222225,2.1777777777777776,1.0222222222222221,0.8444444444444444,0.24444444444444444,0.28888888888888886,2.3555555555555556,1,8.71111111111111,143,3,0,SAS,0022100521,away,ACTIVE,DNP_INJURY,Left Knee; Irritation,200782.0,17,PF,Starter,In Game,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-03 19:41,Base Set,Common,3,Dunk,2021-11-11 03:00:00+00:00,Miami Heat,60000,34501.0,0.0,14299.0,15708.0,0.0,2.0,3,50.00%,0.0,0.0,2765.0,nan,nan,nan,nan,VISIBLE,723f9ffd-a24f-42b4-bae5-c0b2d3f03f18,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+723f9ffd-a24f-42b4-bae5-c0b2d3f03f18,0.00%,3999,40,Layup,1,Base Set,Common,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Layup,0-0,0,0
Tyler Herro,MIA,0022100521,1629639,43,26,17,0.605,33.00829457364341,7.395348837209302,17.488372093023255,0.423,2.5813953488372094,6.837209302325581,0.378,2.6744186046511627,3.0697674418604652,0.871,0.627906976744186,4.162790697674419,4.790697674418604,4.023255813953488,2.8372093023255816,0.5581395348837209,0.16279069767441862,1.2093023255813953,1.558139534883721,2,20.046511627906977,80,2,0,SAS,0022100521,away,ACTIVE,nan,nan,1629639.0,14,nan,Bench,On Bench,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-03 19:40,Base Set,Common,3,3 Pointer,2021-10-23 23:00:00+00:00,Miami Heat,60000,39006.0,0.0,11152.0,13050.0,0.0,2.0,3,0.00%,0.0,0.0,2552.0,nan,nan,nan,nan,VISIBLE,6e286a96-8202-484e-8bba-703afdf58a81,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+6e286a96-8202-484e-8bba-703afdf58a81,1.52%,1530,334,3 Pointer,1,Base Set,Common,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,Base Set-Common-3-3 Pointer,Base Set-Common-1-3 Pointer,0-0,0,0
Udonis Haslem,MIA,0022100521,2617,9,7,2,0.778,6.309259259259259,1.2222222222222223,2.4444444444444446,0.5,0.1111111111111111,0.2222222222222222,0.5,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,1.5555555555555556,2.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.2222222222222223,0,2.888888888888889,12,0,0,SAS,0022100521,away,ACTIVE,nan,nan,2617.0,40,nan,Bench,On Bench,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-03 19:33,Archive Set,Common,S21,Dunk,2006-03-15 00:30:00+00:00,Miami Heat,20000,18699.0,0.0,1301.0,235.0,0.0,2.0,5,0.00%,0.0,0.0,859.0,nan,nan,nan,nan,VISIBLE,c2217564-b18c-463c-bba7-6a3af81c751b,9e89b552-0236-4ffc-ab6b-8cf7c27d46b4,https://nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+c2217564-b18c-463c-bba7-6a3af81c751b,0.00%,275,399,Assist,1,Run It Back,Rare,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,Archive Set-Common-S21-Dunk,Run It Back-Rare-1-Assist,0-0,0,0
Anthony Lamb,SAS,0022100521,1630237,2,0,2,0.0,3.841666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0,0.0,5,0,0,MIA,0022100521,home,nan,nan,nan,nan,nan,nan,None,None,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612748,0,MIA,,7:00 pm ET,1610612759,0,SAS,0,2022-02-03 19:00:00-05:00,nan,nan,0-0,0,0
