name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,fgm_proj,ftm_proj,fgm+ftm_proj,_proj,fgm+ftm
Jalen Suggs,ORL,0022100773,1630591,32,9,23,0.281,28.502708333333334,4.375,12.03125,0.364,1.03125,4.3125,0.239,2.5,3.28125,0.762,0.6875,3.03125,3.71875,4.21875,3.15625,1.1875,0.4375,1.09375,3.0,3,12.28125,-127,0,0,IND,0022100773,away,ACTIVE,1630591.0,4,SG,Starter,-,1,nan,nan,8,0,1,16,6,0.375,0,1.0,4,0,0,0,0.0,84,32.83316666666666,82,-2,12,4,12,0,3,1,4,1,5,0,0.0,2,11,6,0.545454545454545,IND,2022-02-03 03:29,Metallic Silver FE,Fandom,3,Dunk,2021-11-30 00:00:00+00:00,Orlando Magic,2041,1899.0,0.0,142.0,0.0,0.0,15.0,170,-10.05%,-10.53,0.0,97.0,nan,nan,True,True,CHALLENGE_REWARD_RELEASED,80144ecf-8591-4fcf-a6a0-3b02f27ab370,e769f4b4-b469-45be-b777-0f9e24d548e2,https://nbatopshot.com/listings/p2p/e769f4b4-b469-45be-b777-0f9e24d548e2+80144ecf-8591-4fcf-a6a0-3b02f27ab370,-3.54%,4000,218,3 Pointer,3,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Metallic Silver FE-Fandom-3-Dunk,Base Set-Common-3-3 Pointer,118-119,-1,6,0,6,0,6
Mo Bamba,ORL,0022100773,1628964,42,9,33,0.214,26.545357142857142,4.0476190476190474,8.523809523809524,0.475,1.3095238095238095,3.7142857142857144,0.353,0.8095238095238095,1.0476190476190477,0.773,2.142857142857143,5.904761904761905,8.047619047619047,1.3095238095238095,1.3095238095238095,0.6428571428571429,1.9761904761904763,0.42857142857142855,2.5476190476190474,1,10.214285714285714,-250,10,0,IND,0022100773,away,ACTIVE,1628964.0,5,C,Starter,-,1,nan,nan,0,2,0,4,2,0.5,0,2.0,1,0,3,3,1.0,41,15.3,34,-7,7,0,4,5,3,1,4,0,2,0,0.0,0,2,2,1.0,IND,2022-02-03 03:51,Base Set,Common,3,Dunk,2021-10-29 23:00:00+00:00,Orlando Magic,60000,36708.0,0.0,13027.0,14166.0,0.0,2.0,3,0.00%,0.0,0.0,2443.0,nan,nan,nan,nan,VISIBLE,65375d2a-9e9a-4b78-9552-ab6aff55b5ac,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+65375d2a-9e9a-4b78-9552-ab6aff55b5ac,-3.90%,2767,74,Dunk,1,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Dunk,118-119,-1,2,3,5,0,5
Moritz Wagner,ORL,0022100773,1629021,43,10,33,0.233,12.347868217054264,2.6744186046511627,5.232558139534884,0.511,0.9069767441860465,2.6744186046511627,0.339,1.3488372093023255,1.6511627906976745,0.817,0.4883720930232558,1.8837209302325582,2.372093023255814,1.0930232558139534,0.7209302325581395,0.3023255813953488,0.23255813953488372,0.2558139534883721,1.8372093023255813,1,7.604651162790698,-60,0,0,IND,0022100773,away,ACTIVE,1629021.0,21,nan,Bench,-,1,nan,nan,1,0,0,5,4,0.8,0,0.0,1,0,0,0,0.0,25,8.866666666666667,27,2,8,2,8,0,2,1,3,0,0,0,0.0,0,5,4,0.8,IND,2022-02-03 03:50,Base Set,Common,3,Dunk,2021-10-24 23:00:00+00:00,Orlando Magic,60000,36249.0,0.0,13899.0,13980.0,0.0,2.0,3,0.00%,0.0,0.0,1654.0,nan,nan,nan,nan,VISIBLE,623c5a34-4bf1-43e5-b83a-b5785aa72603,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+623c5a34-4bf1-43e5-b83a-b5785aa72603,2.38%,3999,43,Handles,1,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Handles,118-119,-1,4,0,4,0,4
Mychal Mulder,ORL,0022100773,1628539,15,2,13,0.133,13.018111111111113,1.3333333333333333,4.466666666666667,0.299,0.8666666666666667,3.066666666666667,0.283,0.13333333333333333,0.13333333333333333,1.0,0.13333333333333333,1.2666666666666666,1.4,0.2,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.4,0.8,0,3.6666666666666665,-54,0,0,IND,0022100773,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,2022-02-03 03:36,Base Set,Common,2,Layup,2020-12-23 00:00:00+00:00,Golden State Warriors,40000,35090.0,0.0,3352.0,1722.0,0.0,12.0,5,0.00%,0.0,0.0,1623.0,False,False,False,False,VISIBLE,d30ead12-81ce-41ce-be3d-fd9953c33219,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d30ead12-81ce-41ce-be3d-fd9953c33219,9.80%,2021,112,Dunk,2,Rising Stars,Rare,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-2-Layup,Rising Stars-Rare-2-Dunk,118-119,-1,0,0,0,0,0
R.J. Hampton,ORL,0022100773,1630181,42,6,36,0.143,19.410039682539683,2.5476190476190474,6.666666666666667,0.382,0.9285714285714286,2.5476190476190474,0.364,1.1428571428571428,1.880952380952381,0.608,0.3333333333333333,2.5714285714285716,2.9047619047619047,2.4285714285714284,1.3333333333333333,0.6904761904761905,0.19047619047619047,0.5714285714285714,1.4761904761904763,1,7.166666666666667,-281,0,0,IND,0022100773,away,INACTIVE,1630181.0,13,nan,Bench,-,0,INACTIVE_INJURY,Left Knee; MCL Sprain/Bone Bruise,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,IND,2022-02-03 03:52,Base Set,Common,3,Layup,2021-11-07 23:00:00+00:00,Orlando Magic,60000,34028.0,0.0,14769.0,15660.0,0.0,2.0,3,0.00%,0.0,0.0,2839.0,nan,nan,nan,nan,VISIBLE,9a773871-d39a-4472-8c4c-51c91ec51019,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+9a773871-d39a-4472-8c4c-51c91ec51019,0.00%,12000,21,Dunk,2,Base Set,Common,"Thu, Jan 20",INJ - exp. back Feb 5,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-2-Dunk,118-119,-1,0,0,0,0,0
Robin Lopez,ORL,0022100773,201577,23,5,18,0.217,18.01536231884058,3.782608695652174,6.434782608695652,0.588,0.043478260869565216,0.17391304347826086,0.25,0.8260869565217391,1.391304347826087,0.594,2.1739130434782608,1.608695652173913,3.782608695652174,1.826086956521739,1.3043478260869565,0.043478260869565216,0.5217391304347826,0.13043478260869565,2.0434782608695654,1,8.434782608695652,-58,3,0,IND,0022100773,away,ACTIVE,201577.0,33,nan,Bench,-,1,nan,nan,0,0,0,4,3,0.75,1,0.0,2,1,0,0,0.0,10,5.400166666666666,10,0,6,0,6,0,3,0,3,0,0,0,0.0,1,4,3,0.75,IND,2022-02-03 03:53,Base Set,Common,3,Assist,2021-12-23 00:30:00+00:00,Orlando Magic,60000,20610.0,0.0,10451.0,32434.0,0.0,2.0,3,0.00%,0.0,0.0,1275.0,nan,nan,nan,nan,VISIBLE,39fd5164-22aa-4931-93e9-401b699bcf65,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+39fd5164-22aa-4931-93e9-401b699bcf65,5.26%,12000,20,Jump Shot,2,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Assist,Base Set-Common-2-Jump Shot,118-119,-1,3,0,3,0,3
Terrence Ross,ORL,0022100773,203082,44,9,35,0.205,24.83284090909091,3.8863636363636362,9.545454545454545,0.407,1.3863636363636365,4.409090909090909,0.314,2.1818181818181817,2.5,0.873,0.3181818181818182,2.3863636363636362,2.7045454545454546,2.090909090909091,1.4090909090909092,0.4772727272727273,0.25,0.4318181818181818,1.25,1,11.340909090909092,-245,0,0,IND,0022100773,away,ACTIVE,203082.0,31,nan,Bench,-,1,nan,nan,1,0,0,4,2,0.5,0,0.0,0,0,0,0,0.0,40,19.435,53,13,5,0,0,0,3,0,3,0,2,1,0.5,0,2,1,0.5,IND,2022-02-03 03:39,Base Set,Common,2,Dunk,2020-12-30 01:00:00+00:00,Orlando Magic,40000,35206.0,0.0,3615.0,1315.0,0.0,12.0,5,0.00%,0.0,0.0,1597.0,False,False,False,False,VISIBLE,870a9b33-0895-4083-a000-4609d503f1bc,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+870a9b33-0895-4083-a000-4609d503f1bc,0.00%,3999,30,Dunk,1,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-Dunk,118-119,-1,2,0,2,0,2
Tim Frazier,ORL,0022100773,204025,10,1,9,0.1,19.954833333333333,1.3,4.3,0.302,0.6,1.7,0.353,0.5,0.9,0.556,0.5,1.4,1.9,3.3,1.3,0.3,0.1,0.2,2.4,1,3.7,-70,0,0,IND,0022100773,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
Wendell Carter Jr.,ORL,0022100773,1628976,44,9,35,0.205,29.419848484848487,5.136363636363637,10.318181818181818,0.498,1.2045454545454546,3.6136363636363638,0.333,2.159090909090909,3.022727272727273,0.714,2.0454545454545454,8.227272727272727,10.272727272727273,2.6363636363636362,1.6818181818181819,0.6818181818181818,0.6590909090909091,0.5454545454545454,2.772727272727273,2,13.636363636363637,-95,21,0,IND,0022100773,away,ACTIVE,1628976.0,34,SF,Starter,-,1,nan,nan,2,1,0,13,7,0.538461538461538,1,4.0,3,0,5,5,1.0,83,33.715,80,-3,19,0,14,6,15,3,18,1,2,0,0.0,3,11,7,0.636363636363636,IND,2022-02-03 03:53,Base Set,Common,3,Dunk,2021-12-31 00:00:00+00:00,Orlando Magic,60000,13281.0,0.0,10429.0,38503.0,0.0,2.0,3,-25.00%,0.0,0.0,268.0,nan,nan,nan,nan,VISIBLE,e08dff43-369a-443f-86bc-d773dc001262,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+e08dff43-369a-443f-86bc-d773dc001262,36.67%,12000,41,Dunk,2,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-2-Dunk,118-119,-1,7,5,12,0,12
Ahmad Caver,IND,0022100773,1629958,1,0,1,0.0,0.8433333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2,0,0,ORL,0022100773,home,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,119-118,1,0,0,0,0,0
Brad Wanamaker,IND,0022100773,202954,22,9,13,0.409,13.296363636363635,1.1818181818181819,3.272727272727273,0.361,0.18181818181818182,0.7727272727272727,0.235,0.9090909090909091,1.0,0.909,0.2727272727272727,1.3181818181818181,1.5909090909090908,2.1818181818181817,1.0454545454545454,0.22727272727272727,0.2727272727272727,0.5454545454545454,1.9090909090909092,1,3.4545454545454546,-56,0,0,ORL,0022100773,home,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,2022-02-03 03:35,Base Set,Common,2,Layup,2021-04-08 00:00:00+00:00,Charlotte Hornets,12000,10922.0,0.0,691.0,392.0,0.0,12.0,39,0.00%,11.43,18.18,210.0,True,False,False,False,VISIBLE,b0b951e7-21cc-4f1a-ad87-628fe37c1363,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b0b951e7-21cc-4f1a-ad87-628fe37c1363,0.00%,12000,39,Layup,2,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,119-118,1,0,0,0,0,0
