Time Stamp (EST),Player Name,Set,Tier,Series,Play,Date of Moment,Team,Circulation Count,Owned,Unique Owners,In Packs,Minted,Held by TS,Collector Score,Low Ask,4h,24h,7d,Listings,Top Shot Debut,Rookie Premiere,Rookie Mint,Rookie Year,Edition State,Play ID,Set ID,Top Shot Link
2022-01-28 22:11,Tristan Thompson,Base Set,Common,2,Dunk,2021-01-25 00:00:00+00:00,Boston Celtics,12000,11198,0,658,146,0,12,10.00,0.00,0.00,11.11,856,True,False,False,False,VISIBLE,bb5f468d-5759-4535-b162-25e4ff656a51,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bb5f468d-5759-4535-b162-25e4ff656a51
2022-01-28 22:11,Caleb Martin,Base Set,Common,2,Dunk,2021-01-10 00:00:00+00:00,Charlotte Hornets,12000,11135,0,727,139,0,12,12.00,9.09,9.09,9.09,807,True,False,False,False,VISIBLE,08e89ae5-d3cb-4033-9f63-00f09cef699d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+08e89ae5-d3cb-4033-9f63-00f09cef699d
2022-01-28 22:11,Terrence Ross,Base Set,Common,2,Dunk,2020-12-30 01:00:00+00:00,Orlando Magic,40000,35137,0,3684,1274,0,12,5.00,25.00,25.00,0.00,1661,False,False,False,False,VISIBLE,870a9b33-0895-4083-a000-4609d503f1bc,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+870a9b33-0895-4083-a000-4609d503f1bc
2022-01-28 22:11,Clint Capela,Base Set,Common,2,Dunk,2021-02-07 01:00:00+00:00,Atlanta Hawks,35000,31885,0,2743,425,0,12,5.00,0.00,0.00,0.00,1674,False,False,False,False,VISIBLE,c3f8659b-621b-40fc-b8d8-5718f440e08c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c3f8659b-621b-40fc-b8d8-5718f440e08c
2022-01-28 22:11,James Ennis III,Base Set,Common,2,Layup,2021-02-07 00:00:00+00:00,Orlando Magic,12000,11072,0,784,149,0,12,13.00,8.33,0.00,-7.14,744,True,False,False,False,VISIBLE,37fba682-33f9-4a38-8a42-5c99a88a822f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+37fba682-33f9-4a38-8a42-5c99a88a822f
2022-01-28 22:11,De'Andre Hunter,Base Set,Common,2,Dunk,2021-01-25 01:00:00+00:00,Atlanta Hawks,40000,35381,0,3429,1265,0,12,5.00,0.00,0.00,0.00,2518,False,False,False,False,VISIBLE,4a3afa7a-e4da-4472-b7d9-7863b28691cf,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4a3afa7a-e4da-4472-b7d9-7863b28691cf
2022-01-28 22:11,DeAndre Jordan,Base Set,Common,2,Dunk,2021-02-07 01:00:00+00:00,Brooklyn Nets,40000,35155,0,3646,1297,0,12,4.00,0.00,0.00,0.00,1795,False,False,False,False,VISIBLE,47c847eb-eee5-4227-a747-1d7534c05cd6,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+47c847eb-eee5-4227-a747-1d7534c05cd6
2022-01-28 22:11,De'Aaron Fox,Base Set,Common,2,Dunk,2021-01-23 03:00:00+00:00,Sacramento Kings,40000,35619,0,3181,1220,0,12,9.00,-10.00,0.00,-10.00,1645,False,False,False,False,VISIBLE,c94415fe-15d9-4999-bf10-5fefdf4b1ed2,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c94415fe-15d9-4999-bf10-5fefdf4b1ed2
2022-01-28 22:11,Jayson Tatum,Base Set,Common,2,Assist,2021-01-31 01:30:00+00:00,Boston Celtics,35000,31877,0,2527,609,0,12,6.00,0.00,0.00,0.00,2494,False,False,False,False,VISIBLE,8c68670b-b6d4-4f59-8c74-1a70b1e758a5,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8c68670b-b6d4-4f59-8c74-1a70b1e758a5
2022-01-28 22:11,Jaylen Brown,Base Set,Common,2,Dunk,2021-02-03 03:00:00+00:00,Boston Celtics,35000,31796,0,2612,615,0,12,6.00,20.00,20.00,0.00,2393,False,False,False,False,VISIBLE,8e6b8ea8-b1b0-4ac1-ba99-d65b010a0242,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8e6b8ea8-b1b0-4ac1-ba99-d65b010a0242
